‾	surlignéation, trait suscrit, vinculé
🧙🏼‍♂	enchanteur, homme, mage, mage homme : peau modérément claire, magicien, peau modérément claire, sorcier
🧙🏽‍♂	enchanteur, homme, mage, mage homme : peau légèrement mate, magicien, peau légèrement mate, sorcier
🧙🏾‍♂	enchanteur, homme, mage, mage homme : peau modérément foncée, magicien, peau modérément foncée, sorcier
🧙🏿‍♂	enchanteur, homme, mage, mage homme : peau foncée, magicien, peau foncée, sorcier
🧙‍♀	enchanteresse, femme, mage, magicienne, sorcière
🧙🏻‍♀	enchanteresse, femme, mage, mage femme : peau claire, magicienne, peau claire, sorcière
🧙🏼‍♀	enchanteresse, femme, mage, mage femme : peau modérément claire, magicienne, peau modérément claire, sorcière
🧙🏽‍♀	enchanteresse, femme, mage, mage femme : peau légèrement mate, magicienne, peau légèrement mate, sorcière
🧙🏾‍♀	enchanteresse, femme, mage, mage femme : peau modérément foncée, magicienne, peau modérément foncée, sorcière
🧙🏿‍♀	enchanteresse, femme, mage, mage femme : peau foncée, magicienne, peau foncée, sorcière
🧚	fée, personnage féérique
🧚🏻	fée, peau claire, personnage féérique, personnage féérique : peau claire
🧚🏼	fée, peau modérément claire, personnage féérique, personnage féérique : peau modérément claire
🧚🏽	fée, peau légèrement mate, personnage féérique, personnage féérique : peau légèrement mate
🧚🏾	fée, peau modérément foncée, personnage féérique, personnage féérique : peau modérément foncée
🧚🏿	fée, peau foncée, personnage féérique, personnage féérique : peau foncée
🧚‍♂	féetaud, homme
🧚🏻‍♂	féetaud, féetaud : peau claire, homme, peau claire
🧚🏼‍♂	féetaud, féetaud : peau modérément claire, homme, peau modérément claire
🧚🏽‍♂	féetaud, féetaud : peau légèrement mate, homme, peau légèrement mate
🧚🏾‍♂	féetaud, féetaud : peau modérément foncée, homme, peau modérément foncée
🧚🏿‍♂	féetaud, féetaud : peau foncée, homme, peau foncée
🧚‍♀	femme, fée
🧚🏻‍♀	femme, fée, fée : peau claire, peau claire
🧚🏼‍♀	femme, fée, fée : peau modérément claire, peau modérément claire
🧚🏽‍♀	femme, fée, fée : peau légèrement mate, peau légèrement mate
🧚🏾‍♀	femme, fée, fée : peau modérément foncée, peau modérément foncée
🧚🏿‍♀	femme, fée, fée : peau foncée, peau foncée
🧛🏻	vampire : peau claire
🧛🏼	Dracula, canines, cape, conte, dents, dracula, déguisement, halloween, mort-vivant, peau modérément claire, personnage, sang, vampire, vampire : peau modérément claire
🧛🏽	vampire : peau légèrement mate
🧛🏾	Dracula, canines, cape, conte, dents, dracula, déguisement, halloween, mort-vivant, peau modérément foncée, personnage, sang, vampire, vampire : peau modérément foncée
🧛🏿	vampire : peau foncée
🧛‍♂	Dracula, homme, mort-vivant, vampire
🧛🏻‍♂	Dracula, homme, mort-vivant, peau claire, vampire, vampire homme : peau claire
🧛🏼‍♂	Dracula, homme, mort-vivant, peau modérément claire, vampire, vampire homme : peau modérément claire
🧛🏽‍♂	Dracula, homme, mort-vivant, peau légèrement mate, vampire, vampire homme : peau légèrement mate
🧛🏾‍♂	Dracula, homme, mort-vivant, peau modérément foncée, vampire, vampire homme : peau modérément foncée
🧛🏿‍♂	Dracula, homme, mort-vivant, peau foncée, vampire, vampire homme : peau foncée
🧛‍♀	femme, morte-vivante, vampire
🧛🏻‍♀	femme, morte-vivante, peau claire, vampire, vampire femme : peau claire
🧛🏼‍♀	femme, morte-vivante, peau modérément claire, vampire, vampire femme : peau modérément claire
🧛🏽‍♀	femme, morte-vivante, peau légèrement mate, vampire, vampire femme : peau légèrement mate
🧛🏾‍♀	femme, morte-vivante, peau modérément foncée, vampire, vampire femme : peau modérément foncée
🧛🏿‍♀	femme, morte-vivante, peau foncée, vampire, vampire femme : peau foncée
🧜🏻	créature aquatique : peau claire
🧜🏼	ariel, créature aquatique, créature aquatique : peau modérément claire, folklore, mer, océan, peau modérément claire, personnage, petite sirène, queue de poisson, sirène, trident, triton
🧜🏽	créature aquatique : peau légèrement mate
🧜🏾	ariel, créature aquatique, créature aquatique : peau modérément foncée, folklore, mer, océan, peau modérément foncée, personnage, petite sirène, queue de poisson, sirène, trident, triton
🧜🏿	créature aquatique : peau foncée
🧜‍♂	triton
🧜🏻‍♂	peau claire, triton, triton : peau claire
🧜🏼‍♂	peau modérément claire, triton, triton : peau modérément claire
🧜🏽‍♂	peau légèrement mate, triton, triton : peau légèrement mate
🧜🏾‍♂	peau modérément foncée, triton, triton : peau modérément foncée
🧜🏿‍♂	peau foncée, triton, triton : peau foncée
🧜🏻‍♀	sirène : peau claire
🧜🏼‍♀	peau modérément claire, sirène, sirène : peau modérément claire
🧜🏽‍♀	sirène : peau légèrement mate
🧜🏾‍♀	peau modérément foncée, sirène, sirène : peau modérément foncée
🧜🏿‍♀	sirène : peau foncée
🧝🏻	elfe : peau claire
🧝🏼	conte, elf, elfe, elfe : peau modérément claire, le seigneur des anneaux, legolas, magique, oreilles, peau modérément claire, personnage
🧝🏽	elfe : peau légèrement mate
🧝🏾	conte, elf, elfe, elfe : peau modérément foncée, le seigneur des anneaux, legolas, magique, oreilles, peau modérément foncée, personnage
🧝🏿	elfe : peau foncée
🧝‍♂	elfe, homme, magique
🧝🏻‍♂	elfe, elfe homme : peau claire, homme, magique, peau claire
🧝🏼‍♂	elfe, elfe homme : peau modérément claire, homme, magique, peau modérément claire
🧝🏽‍♂	elfe, elfe homme : peau légèrement mate, homme, magique, peau légèrement mate
🧝🏾‍♂	elfe, elfe homme : peau modérément foncée, homme, magique, peau modérément foncée
🧝🏿‍♂	elfe, elfe homme : peau foncée, homme, magique, peau foncée
🧝‍♀	elfe, femme, magique
🧝🏻‍♀	elfe, elfe femme : peau claire, femme, magique, peau claire
🧝🏼‍♀	elfe, elfe femme : peau modérément claire, femme, magique, peau modérément claire
🧝🏽‍♀	elfe, elfe femme : peau légèrement mate, femme, magique, peau légèrement mate
🧝🏾‍♀	elfe, elfe femme : peau modérément foncée, femme, magique, peau modérément foncée
🧝🏿‍♀	elfe, elfe femme : peau foncée, femme, magique, peau foncée
🧞‍♂	djinn, génie, homme
🧞‍♀	djinn, femme, génie
🧟‍♂	homme, mort-vivant, zombie
🧟‍♀	femme, morte-vivante, zombie
💆🏻	personne qui se fait masser : peau claire
💆🏼	détente, femme qui se fait masser, fermer les yeux, massage, peau modérément claire, personne qui se fait masser, personne qui se fait masser : peau modérément claire, relaxation, repos, salon, thérapie, tête, visage, zen
💆🏽	personne qui se fait masser : peau légèrement mate
💆🏾	détente, femme qui se fait masser, fermer les yeux, massage, peau modérément foncée, personne qui se fait masser, personne qui se fait masser : peau modérément foncée, relaxation, repos, salon, thérapie, tête, visage, zen
💆🏿	personne qui se fait masser : peau foncée
💆🏻‍♂	homme qui se fait masser : peau claire
💆🏼‍♂	apaiser, homme, homme qui se fait masser, homme qui se fait masser le visage, homme qui se fait masser : peau modérément claire, mal de tête, massage, migraine, peau modérément claire, relaxation, salon, tension, visage
💆🏽‍♂	homme qui se fait masser : peau légèrement mate
💆🏾‍♂	apaiser, homme, homme qui se fait masser, homme qui se fait masser le visage, homme qui se fait masser : peau modérément foncée, mal de tête, massage, migraine, peau modérément foncée, relaxation, salon, tension, visage
💆🏿‍♂	homme qui se fait masser : peau foncée
💆🏻‍♀	femme qui se fait masser : peau claire
💆🏼‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau modérément claire, massage, peau modérément claire, visage
💆🏽‍♀	femme qui se fait masser : peau légèrement mate
💆🏾‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau modérément foncée, massage, peau modérément foncée, visage
💆🏿‍♀	femme qui se fait masser : peau foncée
💇🏻	personne qui se fait couper les cheveux : peau claire
💇🏼	barbier, beauté, cheveux, ciseaux, coiffure, coupe de cheveux, couper, femme qui se fait couper les cheveux, peau modérément claire, personne, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau modérément claire, salon, style
💇🏽	personne qui se fait couper les cheveux : peau légèrement mate
💇🏾	barbier, beauté, cheveux, ciseaux, coiffure, coupe de cheveux, couper, femme qui se fait couper les cheveux, peau modérément foncée, personne, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau modérément foncée, salon, style
💇🏿	personne qui se fait couper les cheveux : peau foncée
💇‍♂	cheveux, ciseaux, coiffure, couper, homme, personne
💇🏻‍♂	cheveux, ciseaux, coiffure, couper, homme, homme qui se fait couper les cheveux : peau claire, peau claire, personne
💇🏼‍♂	cheveux, ciseaux, coiffure, couper, homme, homme qui se fait couper les cheveux : peau modérément claire, peau modérément claire, personne
💇🏽‍♂	cheveux, ciseaux, coiffure, couper, homme, homme qui se fait couper les cheveux : peau légèrement mate, peau légèrement mate, personne
💇🏾‍♂	cheveux, ciseaux, coiffure, couper, homme, homme qui se fait couper les cheveux : peau modérément foncée, peau modérément foncée, personne
💇🏿‍♂	cheveux, ciseaux, coiffure, couper, homme, homme qui se fait couper les cheveux : peau foncée, peau foncée, personne
💇🏻‍♀	femme qui se fait couper les cheveux : peau claire
💇🏼‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau modérément claire, peau modérément claire
💇🏽‍♀	femme qui se fait couper les cheveux : peau légèrement mate
💇🏾‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau modérément foncée, peau modérément foncée
💇🏿‍♀	femme qui se fait couper les cheveux : peau foncée
🚶	personne qui marche, piéton, randonnée
🚶🏻	peau claire, personne qui marche, personne qui marche : peau claire, piéton, randonnée
🚶🏼	peau modérément claire, personne qui marche, personne qui marche : peau modérément claire, piéton, randonnée
🚶🏽	peau légèrement mate, personne qui marche, personne qui marche : peau légèrement mate, piéton, randonnée
🚶🏾	peau modérément foncée, personne qui marche, personne qui marche : peau modérément foncée, piéton, randonnée
🚶🏿	peau foncée, personne qui marche, personne qui marche : peau foncée, piéton, randonnée
🚶‍♂	homme, homme qui marche, marche, piéton, randonnée
🚶🏻‍♂	homme, homme qui marche, homme qui marche : peau claire, marche, peau claire, piéton, randonnée
🚶🏼‍♂	homme, homme qui marche, homme qui marche : peau modérément claire, marche, peau modérément claire, piéton, randonnée
🚶🏽‍♂	homme, homme qui marche, homme qui marche : peau légèrement mate, marche, peau légèrement mate, piéton, randonnée
🚶🏾‍♂	homme, homme qui marche, homme qui marche : peau modérément foncée, marche, peau modérément foncée, piéton, randonnée
🚶🏿‍♂	homme, homme qui marche, homme qui marche : peau foncée, marche, peau foncée, piéton, randonnée
🚶‍♀	femme, femme qui marche, marche, piétonne, randonnée
🚶🏻‍♀	femme, femme qui marche, femme qui marche : peau claire, marche, peau claire, piétonne, randonnée
