‾	መስመር ላይ
👲🏽	ኮፍያ, ወንድ, የቆዳ ዓይነት-4, የቻይና ኮፍያ ያደረገ ሰው, የቻይና ኮፍያ ያደረገ ሰው: የቆዳ ዓይነት-4
👲🏾	ኮፍያ, ወንድ, የቆዳ ዓይነት-5, የቻይና ኮፍያ ያደረገ ሰው, የቻይና ኮፍያ ያደረገ ሰው: የቆዳ ዓይነት-5
👲🏿	ኮፍያ, ወንድ, የቆዳ ዓይነት-6, የቻይና ኮፍያ ያደረገ ሰው, የቻይና ኮፍያ ያደረገ ሰው: የቆዳ ዓይነት-6
🧕	ሂጃብ, ማንቲላ, ሴት በስካርፍ, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የጭንቅላት ላይ የሚደረግ መሃረብ
🧕🏻	ሂጃብ, ማንቲላ, ሴት በስካርፍ, ሴት በስካርፍ: የቆዳ ዓይነት-1-2, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የቆዳ ዓይነት-1-2, የጭንቅላት ላይ የሚደረግ መሃረብ
🧕🏼	ሂጃብ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ማንቲላ, ሴት በስካርፍ, ሴት በስካርፍ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የጭንቅላት ላይ የሚደረግ መሃረብ
🧕🏽	ሂጃብ, ማንቲላ, ሴት በስካርፍ, ሴት በስካርፍ: የቆዳ ዓይነት-4, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የቆዳ ዓይነት-4, የጭንቅላት ላይ የሚደረግ መሃረብ
🧕🏾	ሂጃብ, ማንቲላ, ሴት በስካርፍ, ሴት በስካርፍ: የቆዳ ዓይነት-5, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የቆዳ ዓይነት-5, የጭንቅላት ላይ የሚደረግ መሃረብ
🧕🏿	ሂጃብ, ማንቲላ, ሴት በስካርፍ, ሴት በስካርፍ: የቆዳ ዓይነት-6, ባንዳና, ቲቸል, የራስ መሸፈኛ, የራስ መሸፈኛ ያደረገች ሴት, የቆዳ ዓይነት-6, የጭንቅላት ላይ የሚደረግ መሃረብ
🤵	ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ቶክሲዶ, ደንበኛ አለባበስ
🤵🏻	ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ሱፍ ልብስ የለበሰ ሰው: የቆዳ ዓይነት-1-2, ቶክሲዶ, የቆዳ ዓይነት-1-2, ደንበኛ አለባበስ
🤵🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ሱፍ ልብስ የለበሰ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቶክሲዶ, ደንበኛ አለባበስ
🤵🏽	ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ሱፍ ልብስ የለበሰ ሰው: የቆዳ ዓይነት-4, ቶክሲዶ, የቆዳ ዓይነት-4, ደንበኛ አለባበስ
🤵🏾	ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ሱፍ ልብስ የለበሰ ሰው: የቆዳ ዓይነት-5, ቶክሲዶ, የቆዳ ዓይነት-5, ደንበኛ አለባበስ
🤵🏿	ሙሽራ, ሰው, ሱፍ ልብስ የለበሰ ሰው, ሱፍ ልብስ የለበሰ ሰው: የቆዳ ዓይነት-6, ቶክሲዶ, የቆዳ ዓይነት-6, ደንበኛ አለባበስ
🤵‍♂	ሰው, ሰው በቶክሲዶ, ቶክሲዶ
🤵🏻‍♂	ሰው, ሰው በቶክሲዶ, ሰው በቶክሲዶ: የቆዳ ዓይነት-1-2, ቶክሲዶ, የቆዳ ዓይነት-1-2
🤵🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ሰው በቶክሲዶ, ሰው በቶክሲዶ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቶክሲዶ
🤵🏽‍♂	ሰው, ሰው በቶክሲዶ, ሰው በቶክሲዶ: የቆዳ ዓይነት-4, ቶክሲዶ, የቆዳ ዓይነት-4
🤵🏾‍♂	ሰው, ሰው በቶክሲዶ, ሰው በቶክሲዶ: የቆዳ ዓይነት-5, ቶክሲዶ, የቆዳ ዓይነት-5
🤵🏿‍♂	ሰው, ሰው በቶክሲዶ, ሰው በቶክሲዶ: የቆዳ ዓይነት-6, ቶክሲዶ, የቆዳ ዓይነት-6
🤵‍♀	ሴት, ሴት በቶክሲዶ, ቶክሲዶ
🤵🏻‍♀	ሴት, ሴት በቶክሲዶ, ሴት በቶክሲዶ: የቆዳ ዓይነት-1-2, ቶክሲዶ, የቆዳ ዓይነት-1-2
🤵🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ሴት በቶክሲዶ, ሴት በቶክሲዶ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቶክሲዶ
🤵🏽‍♀	ሴት, ሴት በቶክሲዶ, ሴት በቶክሲዶ: የቆዳ ዓይነት-4, ቶክሲዶ, የቆዳ ዓይነት-4
🤵🏾‍♀	ሴት, ሴት በቶክሲዶ, ሴት በቶክሲዶ: የቆዳ ዓይነት-5, ቶክሲዶ, የቆዳ ዓይነት-5
🤵🏿‍♀	ሴት, ሴት በቶክሲዶ, ሴት በቶክሲዶ: የቆዳ ዓይነት-6, ቶክሲዶ, የቆዳ ዓይነት-6
👰	ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ
👰🏻	ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ, ቬሎ ያደረገች ሙሽራ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
👰🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ, ቬሎ ያደረገች ሙሽራ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👰🏽	ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ, ቬሎ ያደረገች ሙሽራ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
👰🏾	ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ, ቬሎ ያደረገች ሙሽራ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
👰🏿	ሙሽሪት, ሙሽራ, ሰርግ, ቬሎ, ቬሎ ያደረገች ሙሽራ, ቬሎ ያደረገች ሙሽራ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
👰‍♂	ወንድ, ወንድ በዓይነ እርግብ, ዓይነ እርግብ
👰🏻‍♂	ወንድ, ወንድ በዓይነ እርግብ, ወንድ በዓይነ እርግብ: የቆዳ ዓይነት-1-2, ዓይነ እርግብ, የቆዳ ዓይነት-1-2
👰🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ በዓይነ እርግብ, ወንድ በዓይነ እርግብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዓይነ እርግብ
👰🏽‍♂	ወንድ, ወንድ በዓይነ እርግብ, ወንድ በዓይነ እርግብ: የቆዳ ዓይነት-4, ዓይነ እርግብ, የቆዳ ዓይነት-4
👰🏾‍♂	ወንድ, ወንድ በዓይነ እርግብ, ወንድ በዓይነ እርግብ: የቆዳ ዓይነት-5, ዓይነ እርግብ, የቆዳ ዓይነት-5
👰🏿‍♂	ወንድ, ወንድ በዓይነ እርግብ, ወንድ በዓይነ እርግብ: የቆዳ ዓይነት-6, ዓይነ እርግብ, የቆዳ ዓይነት-6
👰‍♀	ሴት, ሴት በዓይነ እርግብ, ዓይነ እርግብ
👰🏻‍♀	ሴት, ሴት በዓይነ እርግብ, ሴት በዓይነ እርግብ: የቆዳ ዓይነት-1-2, ዓይነ እርግብ, የቆዳ ዓይነት-1-2
👰🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ሴት በዓይነ እርግብ, ሴት በዓይነ እርግብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዓይነ እርግብ
👰🏽‍♀	ሴት, ሴት በዓይነ እርግብ, ሴት በዓይነ እርግብ: የቆዳ ዓይነት-4, ዓይነ እርግብ, የቆዳ ዓይነት-4
👰🏾‍♀	ሴት, ሴት በዓይነ እርግብ, ሴት በዓይነ እርግብ: የቆዳ ዓይነት-5, ዓይነ እርግብ, የቆዳ ዓይነት-5
👰🏿‍♀	ሴት, ሴት በዓይነ እርግብ, ሴት በዓይነ እርግብ: የቆዳ ዓይነት-6, ዓይነ እርግብ, የቆዳ ዓይነት-6
🤰	ሴት, እርጉዝ, እርጉዝ ሴት
🤰🏻	ሴት, እርጉዝ, እርጉዝ ሴት: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
🤰🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እርጉዝ, እርጉዝ ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤰🏽	ሴት, እርጉዝ, እርጉዝ ሴት: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
🤰🏾	ሴት, እርጉዝ, እርጉዝ ሴት: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
🤰🏿	ሴት, እርጉዝ, እርጉዝ ሴት: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
🫃	ሆድ, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, ያበጠ ሆድ
🫃🏻	ሆድ, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, እርጉዝ ወንድ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ያበጠ ሆድ
🫃🏼	ሆድ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, እርጉዝ ወንድ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ያበጠ ሆድ
🫃🏽	ሆድ, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, እርጉዝ ወንድ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ያበጠ ሆድ
🫃🏾	ሆድ, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, እርጉዝ ወንድ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ያበጠ ሆድ
🫃🏿	ሆድ, ሙሉ, ቀፈት, እርጉዝ, እርጉዝ ወንድ, እርጉዝ ወንድ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ያበጠ ሆድ
🫄	ሆድ, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሴት, ከመጠን በላይ መብላት, ያበጠ ሆድ
🫄🏻	ሆድ, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሰው: የቆዳ ዓይነት-1-2, እርጉዝ ሴት, ከመጠን በላይ መብላት, የቆዳ ዓይነት-1-2, ያበጠ ሆድ
🫄🏼	ሆድ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እርጉዝ ሴት, ከመጠን በላይ መብላት, ያበጠ ሆድ
🫄🏽	ሆድ, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሰው: የቆዳ ዓይነት-4, እርጉዝ ሴት, ከመጠን በላይ መብላት, የቆዳ ዓይነት-4, ያበጠ ሆድ
🫄🏾	ሆድ, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሰው: የቆዳ ዓይነት-5, እርጉዝ ሴት, ከመጠን በላይ መብላት, የቆዳ ዓይነት-5, ያበጠ ሆድ
🫄🏿	ሆድ, መጥገብ, ሙሉ, እርጉዝ, እርጉዝ ሰው, እርጉዝ ሰው: የቆዳ ዓይነት-6, እርጉዝ ሴት, ከመጠን በላይ መብላት, የቆዳ ዓይነት-6, ያበጠ ሆድ
🤱	ህፃን, ህፃን ልጅን ጡት ማጥባት, ጡት, ጡት ማጥባት, ጡት-ማጥባት
🤱🏻	ህፃን, ህፃን ልጅን ጡት ማጥባት, የቆዳ ዓይነት-1-2, ጡት, ጡት ማጥባት, ጡት ማጥባት: የቆዳ ዓይነት-1-2, ጡት-ማጥባት
🤱🏼	ህፃን, ህፃን ልጅን ጡት ማጥባት, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጡት, ጡት ማጥባት, ጡት ማጥባት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጡት-ማጥባት
🤱🏽	ህፃን, ህፃን ልጅን ጡት ማጥባት, የቆዳ ዓይነት-4, ጡት, ጡት ማጥባት, ጡት ማጥባት: የቆዳ ዓይነት-4, ጡት-ማጥባት
🤱🏾	ህፃን, ህፃን ልጅን ጡት ማጥባት, የቆዳ ዓይነት-5, ጡት, ጡት ማጥባት, ጡት ማጥባት: የቆዳ ዓይነት-5, ጡት-ማጥባት
🤱🏿	ህፃን, ህፃን ልጅን ጡት ማጥባት, የቆዳ ዓይነት-6, ጡት, ጡት ማጥባት, ጡት ማጥባት: የቆዳ ዓይነት-6, ጡት-ማጥባት
👩‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ነርስ, አራስ, እማማ, እናት, ፍቅር
👩🏻‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ሴት ህጻን ስትመግብ: የቆዳ ዓይነት-1-2, ነርስ, አራስ, እማማ, እናት, የቆዳ ዓይነት-1-2, ፍቅር
👩🏼‍🍼	ህጻን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ሴት ህጻን ስትመግብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ነርስ, አራስ, እማማ, እናት, ፍቅር
👩🏽‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ሴት ህጻን ስትመግብ: የቆዳ ዓይነት-4, ነርስ, አራስ, እማማ, እናት, የቆዳ ዓይነት-4, ፍቅር
👩🏾‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ሴት ህጻን ስትመግብ: የቆዳ ዓይነት-5, ነርስ, አራስ, እማማ, እናት, የቆዳ ዓይነት-5, ፍቅር
👩🏿‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሴት, ሴት ህጻን ስትመግብ, ሴት ህጻን ስትመግብ: የቆዳ ዓይነት-6, ነርስ, አራስ, እማማ, እናት, የቆዳ ዓይነት-6, ፍቅር
👨‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ፍቅር
👨🏻‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ወንድ ህጻን ሲመግብ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ፍቅር
👨🏼‍🍼	ህጻን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ወንድ ህጻን ሲመግብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ፍቅር
👨🏽‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ወንድ ህጻን ሲመግብ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ፍቅር
👨🏾‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ወንድ ህጻን ሲመግብ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ፍቅር
👨🏿‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ነርስ, አራስ, አባት, ወንድ, ወንድ ህጻን ሲመግብ, ወንድ ህጻን ሲመግብ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ፍቅር
🧑‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ
🧑🏻‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲመግብ: የቆዳ ዓይነት-1-2, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ, የቆዳ ዓይነት-1-2
🧑🏼‍🍼	ህጻን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲመግብ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ
🧑🏽‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲመግብ: የቆዳ ዓይነት-4, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ, የቆዳ ዓይነት-4
🧑🏾‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲመግብ: የቆዳ ዓይነት-5, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ, የቆዳ ዓይነት-5
🧑🏿‍🍼	ህጻን, መመገብ, ምገባ, ሞግዚት, ሰው, ሰው ህጻን ሲመግብ, ሰው ህጻን ሲመግብ: የቆዳ ዓይነት-6, ሰው ህጻን ሲያጠባ, ሴት, ነርስ, አራስ, አባት, እናት, ወንድ, የቆዳ ዓይነት-6
👼	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃን, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, ፊት
👼🏻	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃኑ መልዓክ: የቆዳ ዓይነት-1-2, ሕፃን, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, የቆዳ ዓይነት-1-2, ፊት
👼🏼	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃኑ መልዓክ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሕፃን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, ፊት
👼🏽	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃኑ መልዓክ: የቆዳ ዓይነት-4, ሕፃን, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, የቆዳ ዓይነት-4, ፊት
👼🏾	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃኑ መልዓክ: የቆዳ ዓይነት-5, ሕፃን, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, የቆዳ ዓይነት-5, ፊት
👼🏿	ሕጻን መልዓክ, ሕፃኑ መልዓክ, ሕፃኑ መልዓክ: የቆዳ ዓይነት-6, ሕፃን, መልዓክ, ምናባዊ, ተረት ተረት, ኪሩብ, የቆዳ ዓይነት-6, ፊት
🎅	አባባ ገና, አባት, ክብረ በዓል, የገና አባት, ገና
🎅🏻	አባባ ገና, አባባ ገና: የቆዳ ዓይነት-1-2, አባት, ክብረ በዓል, የቆዳ ዓይነት-1-2, የገና አባት, ገና
🎅🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አባባ ገና, አባባ ገና: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አባት, ክብረ በዓል, የገና አባት, ገና
🎅🏽	አባባ ገና, አባባ ገና: የቆዳ ዓይነት-4, አባት, ክብረ በዓል, የቆዳ ዓይነት-4, የገና አባት, ገና
🎅🏾	አባባ ገና, አባባ ገና: የቆዳ ዓይነት-5, አባት, ክብረ በዓል, የቆዳ ዓይነት-5, የገና አባት, ገና
🎅🏿	አባባ ገና, አባባ ገና: የቆዳ ዓይነት-6, አባት, ክብረ በዓል, የቆዳ ዓይነት-6, የገና አባት, ገና
🤶	እናት, ወ/ሮ ከላውስ, የገና እናት, ገና
🤶🏻	እናት, ወ/ሮ ከላውስ, የቆዳ ዓይነት-1-2, የገና እናት, የገና እናት: የቆዳ ዓይነት-1-2, ገና
🤶🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እናት, ወ/ሮ ከላውስ, የገና እናት, የገና እናት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ገና
🤶🏽	እናት, ወ/ሮ ከላውስ, የቆዳ ዓይነት-4, የገና እናት, የገና እናት: የቆዳ ዓይነት-4, ገና
🤶🏾	እናት, ወ/ሮ ከላውስ, የቆዳ ዓይነት-5, የገና እናት, የገና እናት: የቆዳ ዓይነት-5, ገና
🤶🏿	እናት, ወ/ሮ ከላውስ, የቆዳ ዓይነት-6, የገና እናት, የገና እናት: የቆዳ ዓይነት-6, ገና
🧑‍🎄	ሚክስ ክላውስ, ሰው, ሳንታ ክላውስ, በዓል, ክላውስ, ኮፍያ, የገና አባት, ገና
🧑🏻‍🎄	ሚክስ ክላውስ, ሚክስ ክላውስ: የቆዳ ዓይነት-1-2, ሰው, ሳንታ ክላውስ, በዓል, ክላውስ, ኮፍያ, የቆዳ ዓይነት-1-2, የገና አባት, ገና
🧑🏼‍🎄	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሚክስ ክላውስ, ሚክስ ክላውስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ሳንታ ክላውስ, በዓል, ክላውስ, ኮፍያ, የገና አባት, ገና
