‾	linea in alto, linea sopra, sopralineatura
😳	confuso, faccina, faccina arrossata, faccina con guance rosse, faccina con occhi aperti, faccina imbarazzata, guance rosse, imbarazzato, occhi
🥺	faccina implorante, faccina sull’orlo delle lacrime, faccina supplichevole, lacrime, occhi da cucciolo, occhioni, per favore, per piacere, supplicare, triste
🥹	ammirazione, faccina che trattiene le lacrime, faccina con gli occhi umidi, fiero, gioia, gratitudine, grato, imbarazzato, lacrime, orgoglioso, per favore, piangere, resistere, sentimenti, trattenere, triste
😦	bocca aperta, corrucciata, faccina imbronciata con bocca aperta, male, no, noo, paura, sorpresa, wow
😧	angoscia, angosciato, ansia, ansioso, faccina, faccina angosciata, infelice, paura, sofferente, stressato, triste
😨	ansia, ansioso, esami, faccina, faccina impaurita, fifa, fifa blu, impaurito, paura, preoccupato, spaventato, spavento
😰	ansia, blu, esami, faccina, faccina sotto pressione, faccina spaventata, faccina sudata in ansia, freddo, nervoso, paura, risultato, spaventato, sudato, sudore, terrore
😥	ansioso, deluso, deluso ma sollevato, faccina, faccina delusa ma sollevata, goccia, infelice, lacrima, sollevato, sudore, triste
😢	emozione, faccina, faccina che piange, faccina con lacrima, infelice, lacrima, mi dispiace, mi manchi, piangere, triste
😭	faccina che piange, faccina disperata, infelice, lacrime, no, nooo, piangere, pianto, singhiozzare, triste
😱	blu, faccina, faccina terrorizzata, grido di paura, munch, oddio, paura, terrore, terrorizzata, urlare, urlo di munch
😖	arrabbiato, concentrato, confuso, doh, faccia, faccina, faccina frustrata, frustrato, scontento, stressato, triste, uffa
😣	concentrato, faccina, faccina che pensa, faccina concentrata, faccina perseverante, pensare, perseverante
😞	abbandonare, delusione, disilluso, emozione, faccia, faccina, faccina delusa, fallimento, fallire, fallito, ho perso, infelice, male, no, perdere, sospiro, triste, uffa
😓	ci è mancato poco, delusione, faccina, faccina abbattuta sudata, faccina sudata, goccia, malato, sudore, triste
