‾	overstrek
🙉	ape, fjes, forbudt, hører ikke, hører ingenting ondt, ikke
🙊	ape, fjes, forbudt, holder munn, ikke, sier ikke, sier ingenting ondt
💌	brev, brev med hjerte, hjerte, kjærlighesbrev, romantikk
💘	følelser, hjerte, hjerte med pil, kjærlighet, pil
💝	bånd, følelser, hjerte, hjerte med bånd, valentine
💖	følelser, kjærlighet, skinnende, skinnende hjerte
💗	følelser, kjærlighet, nervøs, spent, voksende hjerte
💓	bankende, bankende hjerte, følelser, hjerte, hjertebank, kjærlighet, pulserende
💞	følelser, hjerter, kjærlighet, snurrende, snurrende hjerter, søtt
💕	elskere, følelser, kjærlighet, to hjerter
💟	hjerte, hjertedekorasjon
❣️	tegn, tegnsetting, utrop, utropstegn, utropstegn med hjerte
💔	brudd, følelser, hjerte, knust hjerte
❤‍🔥	brann, hellig hjerte, hjerte, hjerte i brann, ild, kjærlighet, lidenskap
❤‍🩹	bedre, bra, forbedring, komme seg, lindret hjerte, lindring, sterkere
❤️	hjerte, rødt hjerte
🩷	elsker, følelse, hjerte, kjærlighet, liker, rosa, rosa hjerte, spesiell, søtt
🧡	følelser, hjerte, oransje, oransje hjerte
💛	følelser, gul, gult hjerte, hjerte
💚	følelser, grønn, grønt hjerte, hjerte
💙	blå, blått hjerte, følelser, hjerte
🩵	blågrønt, cyan, følelse, himmelblå, hjerte, kjærlighet, liker, lyseblå, lyseblått, lyseblått hjerte, spesiell, søtt
💜	følelser, hjerte, lilla, lilla hjerte
🤎	brun, brunt hjerte, hjerte
🖤	hjerte, ond, svart, svart hjerte
🩶	følelse, grått, grått hjerte, hjerte, kjærlighet, skifer, spesiell, sølv
🤍	hjerte, hvit, hvitt hjerte
💋	kyss, kyssemerke, lepper, romantikk
💯	100, full pott, hundre poeng, poeng
💢	følelse, sinne, sinnesymbol, sint, tegneserie
💥	følelse, kollisjon, krasj, smell, tegneserie
💫	se stjerner, stjerner, svimmel, tegneserie
💦	dråper, sprut, sprutende, svette, svettedråper, tegneserie
💨	forsvinne, løpe, stikker av, tegneserie
🕳️	hull, hull i bakken
💬	ballong, boble, dialog, dialogboble, snakkeboble, tegneserie
👁‍🗨	snakkeboble, øye, øye i snakkeboble
🗨️	dialog, snakkeboble mot venstre, tale
🗯️	ballong, boble, sint, sint snakkeboble mot høyre, sur
💭	boble, tanke, tankeboble, tegneserie
💤	følelse, god natt, snorker, sover, soving, søvn, søvnig, tegneserie, trett, trøtt, zzz
👋	er du der?, ha det, hallo, hei, hilse, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinking
👋🏻	er du der?, ha det, hallo, hei, hilse, hudtype 1–2, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinkende hånd: hudtype 1–2, vinking
👋🏼	er du der?, ha det, hallo, hei, hilse, hudtype 3, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinkende hånd: hudtype 3, vinking
👋🏽	er du der?, ha det, hallo, hei, hilse, hudtype 4, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinkende hånd: hudtype 4, vinking
👋🏾	er du der?, ha det, hallo, hei, hilse, hudtype 5, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinkende hånd: hudtype 5, vinking
👋🏿	er du der?, ha det, hallo, hei, hilse, hudtype 6, hånd, sees, ses, vi sees, vi ses, vinke, vinkende hånd, vinkende hånd: hudtype 6, vinking
🤚	hånd, håndbak, løftet, løftet håndbak
🤚🏻	hudtype 1–2, hånd, håndbak, løftet, løftet håndbak: hudtype 1–2
🤚🏼	hudtype 3, hånd, håndbak, løftet, løftet håndbak: hudtype 3
🤚🏽	hudtype 4, hånd, håndbak, løftet, løftet håndbak: hudtype 4
