‾	וינקולום, מחיקה, קו עליון
😭	בוכה, בקול, דמעות, פרצוף, פרצוף בוכה בקול
😱	אימה, בהלה, מונק, פחד, פרצוף, פרצוף צורח בפחד, צועק, צורח
😖	כועס, מתוסכל, עצבן, פרצוף, פרצוף מתוסכל
😣	כאב, להתרכז, סובל, פרצוף, פרצוף סובל
😞	באסה, מאוכזב, מבאס, עצוב, פרצוף, פרצוף מאוכזב
😓	באסה, זיעה קרה, טיפה, מבואס, עצוב, פרצוף, פרצוף עם זיעה קרה
😩	באסה, בוכה, מבאס, מותש, עייף, עצוב, פרצוף, פרצוף מותש
😫	מפהק, עייף, עצוב, פרצוף, פרצוף עייף
🥱	לילה טוב, לישון, עייף, עייפות, פיהוק, פרצוף מפהק, שעמום
😤	אף, זועם, כועס, פרצוף, פרצוף עם קיטור יוצא מהאף, קיטור
😡	זועם, זועף, כועס, פרצוף, פרצוף זועף
😠	זועם, זועף, כועס, פרצוף, פרצוף כועס
🤬	כועס, מעוצבן, מקלל, סמלים על הפה, פרצוף עם סמלים על הפה, קללות
😈	אגדות, חיוך מרושע, חיוך עם קרניים, פרצוף, פרצוף מחייך עם קרניים, קרניים, שד, שטן
👿	זדוני, זועף, כועס, פרצוף, פרצוף כועס עם קרניים, קרניים, שטן
💀	גולגולת, מוות, מפחיד, פרצוף, שלד
☠️	גולגולת, מוות, מסוכן, מפחיד, סמל פיראטים, שלד
💩	גוש קקי, מגעיל, מסריח, צואה, קקי
🤡	ליצן, פרצוף, פרצוף ליצן
👹	אדום, יצור, מפחיד, מפלצת, עוג, פרצוף, קרניים
👺	אדום, גובלין, יצור, מפחיד, מפלצת, פרצוף, קרניים
👻	יצור, לשון, מוות, מחייך, פרצוף, רוח רפאים
👽️	חוצן, חייזר, חלל, יצור, עב״מ, פרצוף
👾	חוצן, חייזר, חלל, מפלצת חייזרית, משחק מחשב, עב״ם
🤖	פרצוף, פרצוף של רובוט, רובוט
😺	חתול, חתול מחייך, מחייך, פה, פרצוף, פרצוף של חתול מחייך עם פה פתוח
😸	חיוך גדול, חתול, חתול מחייך עם עיניים מחייכות, מחייך, עיניים, פה, פרצוף
😹	דמעות, חתול, חתול עם דמעות שמחה, מחייך, מצחיק, פרצוף, קורע מצחוק, שמחה
😻	אהבה, חתול, חתול מחייך עם עיניים בצורת לב, לבבות, מחייך, עיניים, עיניים בצורת לב, פרצוף
😼	זועם, חיוך עקום, חתול, חתול עם חיוך עקום, פרצוף
😽	חתול, חתול מנשק, מנשק, עיניים סגורות, פרצוף, פרצוף של חתול מנשק עם עיניים סגורות
🙀	בעתה, חתול, חתול פוחד, מפחד, פחד, פרצוף
😿	בוכה, דמעה, חתול, חתול בוכה, עצוב, פרצוף
😾	זועף, חתול, חתול זועף, כועס, פרצוף, פרצוף של חתול זועף
🙈	אסור, לא ראיתי, מכסה עיניים, פרצוף, קוף
🙉	אסור, לא שמעתי, מכסה אוזניים, פרצוף, קוף
🙊	אסור, לא דיברתי, מכסה פה, פרצוף, קוף
💌	אהבה, דואר, לב, מכתב, מכתב אהבה, מכתב חתום בלב, רומנטיקה
💘	אהבה, ולנטיין, חץ, יום האהבה, לב, לב עם חץ, רומנטיקה
💝	ולנטיין, חג האהבה, ט״ו באב, לב, לב עם סרט מתנה, מתנה, סרט
💖	אהבה, לב, לב מנצנץ, מנצנץ
💗	אהבה, גדל, לב, לב גדל, מתרגש, מתרחב
💓	אהבה, לב, לב פועם, פועם, פעימות
💞	אהבה, לבבות, לבבות מסתובבים, לבבות נעים במעגל, מעגל
💕	אהבה, אוהבת, לבבות, שני לבבות
💟	לב, לב בריבוע ורוד
❣️	אהבה, לב, סימן קריאה, סימן קריאה בצורת לב
💔	אכזבה, לב, לב שבור, שבור
❤‍🔥	לב, לב בלהבות, עולה באש, שורף, תשוקה
❤‍🩹	בריא יותר, לב שמשתקם, מחלים, משתפר, נרפא
❤️	אדום, לב, לב אדום
🩷	אהבה, אהבתי, ורוד, חמוד, לב, לב ורוד, רגש
🧡	כתום, לב כתום
💛	לב, לב צהוב, צהוב
💚	ירוק, לב, לב ירוק
💙	כחול, לב, לב כחול
🩵	אהבה, חמוד, ירוק-כחול, כחול בהיר, לב, לב תכלת, ציאן, רגש
💜	לב, לב סגול, סגול
🤎	חום, לב, לב חום
🖤	אפל, כישוף, לב, לב שחור, מאגיה, שחור, שחורה
🩶	אהבה, אפור, כסוף, לב, לב אפור, רגש
🤍	לב, לב לבן, לבן
💋	אהבה, נשיקה, סימן נשיקה, שפתיים
💯	100, לגמרי, מבחן, מעולה, מצויין, ניקוד, ציון, ציון 100
💢	כעס, סמל כעס, פיצוץ
💥	בום, פיצוץ, פצצה
💫	כוכב, כוכב במעגל, כוכב נע במעגל, סחרחורת, קומיקס
💦	זיעה, טיפה, טיפות, טיפות זיעה, מים
💨	מהר, ענן, ענן בתנועה מהירה, ענן עשן, פלוץ, רוח, ריצה
🕳️	בור, חור
💬	בועה, בועת דיבור, בלון, דו-שיח, דיאלוג, שיחה
👁‍🗨	בועת דיבור, עד, עין, עין בבועת דיבור
🗨️	בועה, בועת דיבור משמאל, דו-שיח, דיאלוג, דיבור, ענן
🗯️	בועה, בועת דיבור כועס מימין, דו-שיח, דיאלוג, דיבור, כועס, ענן
💭	בועה, בועת מחשבה, מחשבה, רעיון
💤	zzz, ישן, ישנה, לילה, לישון, נוחר, נחירה, נחירות, סימן נחירה, שינה
👋	ביי, היי, יד, יד מנופפת, כיף, להתראות, מנופפת, שלום
👋🏻	ביי, גוון עור בהיר, היי, יד, יד מנופפת: גוון עור בהיר, כיף, להתראות, מנופפת, שלום
👋🏼	ביי, גוון עור בהיר בינוני, היי, יד, יד מנופפת: גוון עור בהיר בינוני, כיף, להתראות, מנופפת, שלום
👋🏽	ביי, גוון עור בינוני, היי, יד, יד מנופפת: גוון עור בינוני, כיף, להתראות, מנופפת, שלום
👋🏾	ביי, גוון עור כהה בינוני, היי, יד, יד מנופפת: גוון עור כהה בינוני, כיף, להתראות, מנופפת, שלום
👋🏿	ביי, גוון עור כהה, היי, יד, יד מנופפת: גוון עור כהה, כיף, להתראות, מנופפת, שלום
🤚	אהלן, גב יד, גב יד פרוש, חמסה, כיף, כלפי מעלה, עצור, שלום
🤚🏻	אהלן, גב יד, גב יד פרוש, גב יד פרוש: גוון עור בהיר, גוון עור בהיר, חמסה, כיף, כלפי מעלה, עצור, שלום
🤚🏼	אהלן, גב יד, גב יד פרוש, גב יד פרוש: גוון עור בהיר בינוני, גוון עור בהיר בינוני, חמסה, כיף, כלפי מעלה, עצור, שלום
🤚🏽	אהלן, גב יד, גב יד פרוש, גב יד פרוש: גוון עור בינוני, גוון עור בינוני, חמסה, כיף, כלפי מעלה, עצור, שלום
🤚🏾	אהלן, גב יד, גב יד פרוש, גב יד פרוש: גוון עור כהה בינוני, גוון עור כהה בינוני, חמסה, כיף, כלפי מעלה, עצור, שלום
🤚🏿	אהלן, גב יד, גב יד פרוש, גב יד פרוש: גוון עור כהה, גוון עור כהה, חמסה, כיף, כלפי מעלה, עצור, שלום
🖐️	חמסה, יד, כיף, כף יד פתוחה מורמת, מורמת, עצור, פתוחה
🖐🏻	גוון עור בהיר, חמסה, יד, כיף, כף יד פתוחה מורמת, כף יד פתוחה מורמת: גוון עור בהיר, מורמת, עצור, פתוחה
🖐🏼	גוון עור בהיר בינוני, חמסה, יד, כיף, כף יד פתוחה מורמת, כף יד פתוחה מורמת: גוון עור בהיר בינוני, מורמת, עצור, פתוחה
🖐🏽	גוון עור בינוני, חמסה, יד, כיף, כף יד פתוחה מורמת, כף יד פתוחה מורמת: גוון עור בינוני, מורמת, עצור, פתוחה
🖐🏾	גוון עור כהה בינוני, חמסה, יד, כיף, כף יד פתוחה מורמת, כף יד פתוחה מורמת: גוון עור כהה בינוני, מורמת, עצור, פתוחה
🖐🏿	גוון עור כהה, חמסה, יד, כיף, כף יד פתוחה מורמת, כף יד פתוחה מורמת: גוון עור כהה, מורמת, עצור, פתוחה
✋️	חמסה, יד, כיף, כף יד מורמת, מורמת, עצור
✋🏻	גוון עור בהיר, חמסה, יד, כיף, כף יד מורמת, כף יד מורמת: גוון עור בהיר, מורמת, עצור
✋🏼	גוון עור בהיר בינוני, חמסה, יד, כיף, כף יד מורמת, כף יד מורמת: גוון עור בהיר בינוני, מורמת, עצור
✋🏽	גוון עור בינוני, חמסה, יד, כיף, כף יד מורמת, כף יד מורמת: גוון עור בינוני, מורמת, עצור
✋🏾	גוון עור כהה בינוני, חמסה, יד, כיף, כף יד מורמת, כף יד מורמת: גוון עור כהה בינוני, מורמת, עצור
✋🏿	גוון עור כהה, חמסה, יד, כיף, כף יד מורמת, כף יד מורמת: גוון עור כהה, מורמת, עצור
🖖	אצבעות, ברכת וולקנים, ברכת כהנים, הצדעה וולקנית, וולקן, וולקנים, יד, ספוק
🖖🏻	אצבעות, ברכת וולקנים, ברכת כהנים, גוון עור בהיר, הצדעה וולקנית: גוון עור בהיר, וולקן, וולקנים, יד, ספוק
🖖🏼	אצבעות, ברכת וולקנים, ברכת כהנים, גוון עור בהיר בינוני, הצדעה וולקנית: גוון עור בהיר בינוני, וולקן, וולקנים, יד, ספוק
🖖🏽	אצבעות, ברכת וולקנים, ברכת כהנים, גוון עור בינוני, הצדעה וולקנית: גוון עור בינוני, וולקן, וולקנים, יד, ספוק
🖖🏾	אצבעות, ברכת וולקנים, ברכת כהנים, גוון עור כהה בינוני, הצדעה וולקנית: גוון עור כהה בינוני, וולקן, וולקנים, יד, ספוק
🖖🏿	אצבעות, ברכת וולקנים, ברכת כהנים, גוון עור כהה, הצדעה וולקנית: גוון עור כהה, וולקן, וולקנים, יד, ספוק
🫱	יד, יד פונה ימינה, ימינה, לחיצת יד, נעים להכיר
🫱🏻	גוון עור בהיר, יד, יד פונה ימינה, יד פונה ימינה: גוון עור בהיר, ימינה, לחיצת יד, נעים להכיר
🫱🏼	גוון עור בהיר בינוני, יד, יד פונה ימינה, יד פונה ימינה: גוון עור בהיר בינוני, ימינה, לחיצת יד, נעים להכיר
🫱🏽	גוון עור בינוני, יד, יד פונה ימינה, יד פונה ימינה: גוון עור בינוני, ימינה, לחיצת יד, נעים להכיר
🫱🏾	גוון עור כהה בינוני, יד, יד פונה ימינה, יד פונה ימינה: גוון עור כהה בינוני, ימינה, לחיצת יד, נעים להכיר
🫱🏿	גוון עור כהה, יד, יד פונה ימינה, יד פונה ימינה: גוון עור כהה, ימינה, לחיצת יד, נעים להכיר
🫱🏻‍🫲🏼	גוון עור בהיר, גוון עור בהיר בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר, גוון עור בהיר בינוני, עסקה, פגישה
🫱🏻‍🫲🏽	גוון עור בהיר, גוון עור בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר, גוון עור בינוני, עסקה, פגישה
🫱🏻‍🫲🏾	גוון עור בהיר, גוון עור כהה בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר, גוון עור כהה בינוני, עסקה, פגישה
🫱🏻‍🫲🏿	גוון עור בהיר, גוון עור כהה, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר, גוון עור כהה, עסקה, פגישה
🫱🏼‍🫲🏻	גוון עור בהיר, גוון עור בהיר בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר בינוני, גוון עור בהיר, עסקה, פגישה
🫱🏼‍🫲🏽	גוון עור בהיר בינוני, גוון עור בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר בינוני, גוון עור בינוני, עסקה, פגישה
🫱🏼‍🫲🏾	גוון עור בהיר בינוני, גוון עור כהה בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר בינוני, גוון עור כהה בינוני, עסקה, פגישה
🫱🏼‍🫲🏿	גוון עור בהיר בינוני, גוון עור כהה, הסכם, לחיצת יד, לחיצת יד: גוון עור בהיר בינוני, גוון עור כהה, עסקה, פגישה
🫱🏽‍🫲🏻	גוון עור בהיר, גוון עור בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בינוני, גוון עור בהיר, עסקה, פגישה
🫱🏽‍🫲🏼	גוון עור בהיר בינוני, גוון עור בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בינוני, גוון עור בהיר בינוני, עסקה, פגישה
🫱🏽‍🫲🏾	גוון עור בינוני, גוון עור כהה בינוני, הסכם, לחיצת יד, לחיצת יד: גוון עור בינוני, גוון עור כהה בינוני, עסקה, פגישה
🫱🏽‍🫲🏿	גוון עור בינוני, גוון עור כהה, הסכם, לחיצת יד, לחיצת יד: גוון עור בינוני, גוון עור כהה, עסקה, פגישה
