‾	надчеркивание, ҫӳлтен йӗр
😕	Анкӑ-Минкӗленнӗ, вӑтану, именӳ, пит, пӑтрашу, тӗлӗнмелле, япӑх, ӑнланман, Ӗненместӗп
🫤	иккӗленӳ, кӑмӑлсӑрланни, кӳренӳ, мда, перекос, скептик, смайл, тӗлӗнмелле, чалӑшнӑ ҫӑварлӑ, юрать, ҫӑвар чалӑшнӑ, ӑнланмалла мар, ӑнланманни
😟	инкек, канӑҫсӑр, канӑҫсӑрлӑх, кӑмӑлсӑрланни, пӑлханни, пӑшӑрханать, пӑшӑрхану, стресс, сӑн, тревога, тунсӑх, шиклӗ
🙁	килӗшмест, кӑмӑлсӑр, кӑштах салхуллӑрах, кӑштах тӗксӗмленетӗп, кӑштах хуйхӑрать, кӑштах хурланать, начар, сӑн-пит, тӗксӗм
☹️	килӗшмест, кӑмӑлсӑр, кӑштах салхуллӑрах, кӑштах тӗксӗмленетӗп, кӑштах хуйхӑрать, начар, сӑн-пит, тӗксӗм
😮	охо, пит, тӗлӗнни, тӗлӗннӗ, тӗлӗнӳ, уҫӑ, хӑйне нимӗн те, шокировка тунӑ, шокра, ҫӑварӗ, ӗненместӗп
😯	аван мар, илемсӗр сюрприз, сӑн-пит, тӗлӗнни, тӗлӗннӗ, чӗмсӗрлӗх, ырӑ мар сюрприз
😲	кисренӳ, нимех те мар, пит, тӗлӗнӳ, шок, шокра
😳	вӑтанни, намӑс, пит, питҫӑмартисем, хӗрелет, хӗрелсе, хӗрелсе каять, хӗрлӗ
🥺	йӑлӑну, куҫ, куҫҫуль, пит, пысӑк куҫ, тархаслать, тархасшӑн, хурлӑх
🥹	куҫҫуль, куҫҫульне аран чарать, куҫҫульне аран-аран чарать, мӑнкӑмӑллӑх, савӑнӑҫ, смайл, тав, тарӑху, тунсӑх, чӑтӑм, ҫырлаху
😦	кӑмӑлсӑр тӗлӗннӗ, пичӗ, тӗксӗмленнӗ, тӗлӗнни, тӗлӗннипе, уҫӑ ҫӑварӗ, ҫӑварӗ, ӗшенни
😧	асап, асапланать, асапланатӑп, маннӑ, начар, пит, сюрприз, тунсӑх, тӗлӗннӗ, хӑрани, ыратни
😨	кулянма, пӑшӑрханма, сӑн-пит, хӑрама, хӑрани, хӑранипе шуралма, хӑрать, хӑратӑп, хӑрушӑ, ҫӑвар
😰	макӑрма, пӑшӑрхану, сивӗ, тар, уҫӑ ҫӑвар, хурлӑхлӑ, хытӑ пӑшӑрханать, хытӑ пӑшӑрханатӑп, хӑрани, хӑрать, хӑрушӑ
😥	иртрӗ, иртсе кайрӗ, йывӑр, кӑмӑлсӑрланни, пит, тумлам тар, фу, хурлӑхлӑн, ҫӑмӑллӑх
😢	куҫҫуль, кӳренӳ, макӑрать, пит, тунсӑх, хуйхӑру, хурлӑхлӑ, шел
😭	крокодил куҫҫулӗ, куҫҫуль юхать, куҫҫуль юхни, макӑрни, пит, тунсӑх, хыттӑн, ӗсӗклени
😱	кӑшкӑру, пит, сехре хӑпнипе, сехӗрленӳ, хӑранипе, шок, ҫухӑрса
😖	аптраса ӳкнипе, аташать, йӗрӗнмелле, килӗшмест, пит, тупик, усси, ҫухалса кай, ҫухалса кайни
😣	кутӑнлӑх, пит, пытанма, пытанӑр, сайлик, ҫине тӑни, ҫине тӑни палӑрать
😞	выляса яни, кӑмӑлсӑр, кӑмӑлсӑрланать, кӑмӑлсӑрланни, кӳренет, сӑн-пит, тунсӑх, фрустраци, шанчӑка ҫухатни, шел, ҫухату, ӑнӑҫсӑр, ӗшенни
😓	канӑҫсӑрлӑх, кулянни, нервӑсем, пит, пӑлханать, сивӗ тар, сивӗ тарпа, сивӗ тарра, тар, хӑрани, чир
😩	инкек, макӑру, начар, пит, тунсӑх, ывӑнни, ывӑнтӑм
😫	вӑйлӑн ывӑнни, кану, макӑру, пит, питӗ ывӑннӑ, хуйхӑ, хытӑ ывӑнни, ывӑнни, ҫывӑрма, ӗҫ
🥱	анасла, анаслакан, кичем, смайл, ывӑнни, ыйхӑ, ыйхӑллӑ, ҫывӑрма, ӗшенни
😤	кӑмӑлсӑрланни, мӑнкӑмӑллӑх, мӑшӑр, пит, сӑмса, сӑмсаран мӑшӑр, тарӑхни, ӑнӑҫу пуласса кӗтсе
😡	вӗрет, вӗчӗрхенет, курайманлӑх, пит, тарӑхать, тарӑху, урнӑ, хаяр, хаярлӑх, хӑйне хӑй чарма, хӗрлӗ, ҫиленнӗ
😠	кӑмӑлсӑр, сӑн-пит, тӗксӗм, хаяр, ҫилленет, ҫилленетӗп
🤬	вӑрҫма, мат, матюксем, тарӑху, усал, усал сӑмахсем, хаяр, цензор, цензура, ылхан, ятлаҫма, ятлаҫу, ҫӑвар патӗнчи символлӑ пит
😈	йӑл кулакан шуйттан, кулли, кӑвак, мӑйраки, пичӗ, фэнтези, шуйттан ҫури, шӑллӗ, юмах
👿	демон, мифологи, пит, сиенлӗ, усал шуйттан, фольклор, чун, шуйттан, шуйттан ҫури, юмах
💀	вилӗм, пуҫ, пуҫ купташки, скелет, хӑрушлӑх
☠️	вилӗм, пират, пуҫ шӑмми, пуҫ шӑммипе пуҫ шӑмми, пуҫ шӑммипе шӑмми, хӑрушлӑх, шӑмӑ
💩	купа, пăх, тислӗк, усал шăршă кăлар, фекали
🤡	клоун, клоун сӑн-пичӗ, цирк, шут
👹	аҫтаха, карнавал, мифологи, монср, пит, таса мар, тискер кайӑк, хӑравҫӑ, хӑрушӑ, чӗрчун, япони, ҫӗлен
👺	вӑрӑм сӑмса, гоблин, маска, монстр, пит, сӑмсаллӑ чудище, фольклор, юмах, япони, япони гоблинӗ, ҫилӗ
👻	мӗлке, сӑн-пит, хӑрани, хӑрушӑ, чун, чӗлхе, юмах
👽️	НЛО, килнӗ, космос, фантазика, чун, ют, ют халӑх ҫынни, ют ҫын
👾	вӑйӑ монстрӗ, килнӗ, космос, космос монстрӗ, нло, пит, фантазика, фантастика, ют
🤖	монстр, пит-куҫ, робот, хӑрани
😺	кулакан кушак, кулӑ, кушак, пит-куҫ, савӑнӑҫ, сарлака кулӑ, сарлака кулӑллӑ, телей, шӑлсем
😸	ахӑлтатса кулакан кушак, кулакан кушак, кулӑ, кушак, кушак аҫи кулать, кушак аҫи сарлака кулӑпа, куҫӗсене хупса, кушак йӑл кулса, куҫӗсем, куҫӗсене хупнӑ кушак, пит-куҫ
😹	кулакан кушак, кушак, кушак кулать, кушак куҫҫуль тухичченех кулать, куҫҫуль тухичченех кулакан кушак, пит-куҫ, савӑнӑҫ, телей, телей куҫҫулӗ
😻	кулӑ, кушак, пит-куҫ, телей, чӗре, юратма, юратса пӑрахнӑ кушак аҫи, юрату
😼	ейкеленӳ кушак, кулакан кушак, кулӑпа, кушак аҫи, кушак аҫи кулӑпа, сарказм, чее
😽	аҫа, кушак, куҫ, пит-куҫ, сӑмсасем, тута, чупту, чуптӑвакан кушак
🙀	кушак, кушак пӑлханать, пит-куҫ, сӑмсасем, тӗлӗнни, шоклӑ кушак, шокра, ывӑнни
😿	кушак, кушак макӑрать, куҫҫулӗ, макӑракан кушак, макӑру, пит-куҫ, хуйхӑ, хурлӑхлӑ, шел
😾	вӗчӗрхенсе, кушак, кушак аҫи ҫилӗпе, кӑмӑлсӑр, пит-куҫ, усал, усал кушак, чӗрчун, ҫилленетӗп
🙈	курасшӑн мар, куҫӑм, куҫӑм ан куртӑр, нимӗн те курмастӑп, упӑте, чарнӑ, юрамасть
🙉	нимӗн те илтместӗп, секрет, упӑте, ура, хӑлха, чарнӑ, юрамасть
🙊	анчах ан кала, никама та нимӗн те каламастӑп, секрет, упӑте, ура, хупнӑ, чарнӑ, чӗмсӗрлӗх, шӑппӑн, ҫӑвар
💌	валентинка, вӑрттӑнлӑх, почта, юрату, юрату ҫырӑвӗ, ҫыру
💘	романтикаллă, ухӑ йӗппи шӑтарнӑ чӗре, чӗрене лектернĕ ухă йĕппи, эрешсем, юратма пуçларăм, юрату, ҫӗмрен
💝	валентинка, лента, лентӑллӑ чӗре, любовь, парне, хӑюлӑ чӗре, чӗре, юрататӑп
💖	ялтӑркка чӗре
💗	виҫи, ритм, тапни, туйӑмсем, чӗре, ытларах, юрату, ӳсекен чӗре
💓	кардио, кӗрен, тапакан чӗре, тапать, хӗрлӗ чӗре, чӗре, чӗри тапать, юрату
💞	икӗ ҫаврашка, чӗре, юрату ташши, ҫаврӑнакан чӗре, ҫаврӑнакан чӗресем, ҫаврӑну
💕	икӗ чӗре, тӗлпулу, чуптӑву, чӗре, юрататакан
