‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
⚖️	Libra, akadeɛ, ferenkyem susudua, ferenkyemm, muduro, pɛrepɛreyͻ, susudua, susudua ahodoͻ, zodiake
🦯	ani fira, fitaa, nhwehwɛmu, poma, poma fitaa, ɛwͻ hͻ
🔗	lenke
⛓‍💥	abubu, bu, fawohodie, hankͻfo, nkyerewa, nkyerewa a abubu, rebubu
⛓️	nkyerewa
🪝	huuku, kruuku, kye, kyerԑ, kԑԑfo, mantam, retͻn
🧰	adaka, afidie dwmfoͻ, akadeɛ, akadeԑ adaka, kͻkͻͻ
🧲	atenka, magnɛtese, negetifo, pͻnkͻ hyuu, pͻsitifo, stiim, tweboͻ, yͻbea
🪜	anamͻn, atwedeɛ, foro, range
🪏	dua, sa, sie, sofi, spade, sunoo, tokuro, tu, turo
⚗️	akadeɛ, alɛmbeke, kɛmistri
🧪	dorobɛn, kɛmese, kɛmistri, laabo, saense, sͻhwɛ
🧫	aduane, baatiria, baelͻgyi, baelͻgyini, kͻͻkya, laabo, petri, petri aduane
🧬	adaneɛ, baelͻgyini, dna, gyene, gyɛnɛtese, nkwa
🔬	akadeɛͻ, laabo, maekroskopu, saense, sͻhwɛ
🔭	akadeԑ, nkutahodie, saense, teliskopu, wiem nsԑm
📡	ahͻhoͻ, antena, deehye, nkutahodie, saense, satelaete
💉	abota, aduro, akadeɛ, dͻkota, flu, paneɛ, paneԑ, yare
🩸	aduro, ko, ma mogya, mogya, mogya ko, nsabuo, opira, tu mogya
💊	aduro, afa aduro, dͻkota, nnuro, perese, vitamin, yare
🩹	bandegyi, mfamyɛ, mfamyɛ bandegyi
🩼	abaa, apira, boa, dɛmdie, krͻͻkye, mmoa, nanteɛ, pira
🩺	akoma aduro, dͻkota, stetoskopu
🩻	apomuden, dͻkota, nnompe, sekɛlɛten, tikwankora, x-ray, xray
🚪	akyire, anim, pono, wodropu
🛗	akwannya, atwedeɛ, atwedeԑ, ma so, pagya
🪞	ahwehwɛ, kwan, mekaapo, sunsum
🪟	bue ano, fann, foforͻ, hwɛ, mframa, mpoma, mponnua
🛏️	ahͻhogyebea, da, mpa
🛋️	ahͻhogyebea, akonnwa kɛseɛ, akonnwa kԑseԑ ne kanea, kanea
🪑	adwa, akonnwa, tena
🚽	adwareeɛ, agyanan
🪠	agyanan, deɛ etwe biribi, kuruwa, plͻmba, plͻnga, ͻhyɛ
🚿	dware, nsuo
🛁	adwareɛ, dware
🪤	afidie, akura, akurafidie, cheese, daadaa, nnaadaadeɛ
🪒	nam, shaving stick, yi, yiwan
🧴	hyampoo, nku, sanskriin, sradeɛ, sradeԑ toa, toa
🧷	ahwԑyie, ahwԑyie pin, bontan, pampԑse, pin, pͻnko
🧹	bayifoͻ, praeԑ, repra, resiesie
🧺	ekyini, kuayͻ, kԑntԑn, nneԑmasie
🧻	agyanan krataa, bobͻ, krataa, tiafi, towuro
🪣	adwarepan, akoradeɛ, ankorɛ, bokiti
🧼	ahuro, baa, redware, resiesie, samina, samina konko, siesie
🫧	ahuro, da ani, kesu, nsuo ase, pɛɛl, siesie
🪥	adwareɛ, agyananbea akadeɛ, ahonidie, apͻͻse brͻhye, brͻͻhye, siesie, ɛse
🧽	dͻn, kwan wom, resiesie, retwe, sapͻ
🧯	dum, dumgya, egya
🛒	dwa adeɛ, dwabͻtͻ, dwadie adaka, redi dwa
🚬	sigartenom, sigarɛte
⚰️	awu, fundaka, obi a ͻnom nipa mogya, owuo
🪦	amusieɛ, asieeɛ, awu, efunu amena, nkaedeɛ, nkaeɛ boͻ, nnasoboͻ, rip, ɛnna
⚱️	ayie, ayiyͻ kukuo, kukuo, nso, owuo
🧿	ahwenneɛ, ani bͻne, bansere, bibire, nazar amulet, suman, sɛbɛ
🪬	Fatima, Mary, Miriam, ahobammͻ, ahonyadeɛ, bansere, bͻ ho ban, hamsa, nsa, nsam
🗿	anim, boͻ anim, moai, moyai, ohoni, tu kwan
🪧	asotire, daawere ntoabͻ, dͻmpem, fa wo nsa hyԑ aseԑ, kaade, kasakyerԑ nkaedum, plakaade, yԑkyerԑ, yԑkyerԑ krataa
🪪	ID, adida kaade, adidaeԑ, ahobammͻ, deԑ ԑma kwan, kaade, nwoma, tumi krataa
🏧	ATM, ATM nsԑkyerԑnne, nsԑkyerԑnne, otometԑd, sika, sikakorabea, tԑla
🚮	bin, litabin, nsԑnkyerԑnne, nwura, nwura a ԑwͻ bin nsԑnkyerԑnne mu
🚰	nom, nsuo, pͻͻtabͻl, pͻͻtabͻl nsuo
♿️	ahyԑnsodeԑ, kwan, mmubuafoͻ, mmubuafoͻ akonwa, mmubuafoͻ akonwa nsԑnkyerԑnne
🚹️	WC, adwareԑ, agyanan, dan, homedan, mmarima, mmarima dan, ͻbarima
🚺️	WC, adwareԑ, agyanan, dan, homedan, mmaa, mmaa dan, ͻbaa
🚻	WC, adwareԑ, agyanan, agyanan dan, homedan
🚼️	abͻfra, abͻfra ahyɛnsodeɛ, ahyɛnsodeɛ, sesa
🚾	WC, adwareɛ, agyanan, agyanan dan, homedan, klosɛte, nsuo, wͻta klosɛte
🛂	pasepͻͻto, pasepͻͻto sowhɛ, sowhɛ
🛃	hyehyɛ, kͻstͻmfoͻ
🛄	aduru, akwantua, akwantuo, bagegi, bagegi gyeɛ, bͻtͻ, gye, hwɛ mu, hyehyɛ, keesi, krado, tu kwan, wiemhyɛn
🛅	bagegyi, benkum, benkum lagegi, keesi, lagegyi, lͻka
⚠️	ahwɛyie, kͻkͻbͻ
🚸	abͻfra, mmͻfra, mmͻfra retwamu, nipa, trafeke, twa mu
⛔️	bara, daabi, di nkoguo, nwuramu, nwuramu nni hɔ, si ho kwan, trafeke, twa mu, yɛ, ɛnnyɛ
🚫	bara, daabi, nom, nruramu, si ho kwan, ɛnnyɛ
🚳	baike, bara, daabi, nsakre, sakre, sakre mma ha, si ho kwan, ɛnnyɛ
🚭️	bara, daabi, nnom sigaret wo ha, nom, si h kwan, sigaretnom, ɛnnyɛ
🚯	bara, daabi, nto nwura ngu ha, nwura, nwura wͻtͻ gu, si h kwan, ɛnnyɛ
🚱	awo, bara, nsuo, nsuo a yɛnnom, yɛnnom
🚷	bara, daabi, deɛ ɔnam fam, wɔn a wɔnam fam, wɔn a wɔnam fam mfa ha, ɛnyɛ
📵	bara, daabi, fon, mfa fon nni dwuma wɔ ha, mobaa, sɛɛle, tɛlɛfon, ɛnyɛ
🔞	18, anohyetoɔ, baako, bara, daabi, deɛ ɔnnuruu du nwɔtwe mma ha, du nwɔtwe, mfeɛ, mfeɛ sua, ɛnyɛ
☢️	nsɛnkyerɛnne, radeoaketifo
☣️	bayohasaade, nsɛnkyerɛnne
⬆️	akwankyerԑ, akyerԑkyerԑkwan, atifi, kadenaa, soro, soro akyerԑkyerԑkwan
↗️	akwankyerɛ, akyerɛkyerɛkwan, atifiapueeɛ, kadenaantam, soro-nifa, soro-nifa akyerɛkyerɛkwan
➡️	akwankyerԑ, akyerԑkyerԑkwan, apueeԑ, kadenaa, nifa, nifa so akyerԑkyerԑkwan
↘️	akwankyerɛ, akyerɛkyerɛkwan, anaafoɔapueeɛ, fam-nifa, fam-nifa akyerɛkyerɛkwan, kadenaantam
⬇️	akwankyerԑ, akyerԑkyerԑkwan, anaafoͻ, fam, fam akyerԑkyerԑkwan, kadenaa
↙️	akwankyerɛ, akyerɛkyerɛkwan, anaafoɔatɔeɛ, fam-benkum, fam-benkum akkyerɛkyerɛkwan, kadenaantam
⬅️	akwankyerԑ, akyerԑkyerԑkwan, atͻeԑ, benkum, benkum akyerԑkyerԑkwan, kadenaa
↖️	akwankyerɛ, akyerɛkyerɛkwan, atifiatɔeɛ, kadenaantam, soro-benkum, soro-benkum akyerԑkyerԑkwan
↕️	akyerԑkyerԑkwan, soro-fam, soro-fam akyerɛkyerɛkwan
↔️	akyerԑkyerԑkwan, benkum-nifa, benkum-nifa akyerԑkyerԑkwan
↩️	akoa, akyerԑkyerԑkwan, benkum, nifa, nifa akyerԑkyerԑkwan akoa hwɛ benkum
↪️	akoa, akyerԑkyerԑkwan, benkum, benkum akyerԑkyerԑkwan a akoa hwɛ nifa, nifa
⤴️	akoa, akyerԑkyerԑkwan, nifa, nifa akyerԑkyerԑkwan a akoa hwɛ soro, soro
⤵️	akoa, akyerԑkyerԑkwan, fam, nifa, nifa akyerԑkyerԑkwan akoa hwɛ fam
🔃	akyerɛkyerɛakwan, akyerɛkyerɛkwan, bɔ bio, klɔkwaise, klɔkwaise tenten mu akyerɛkyerɛkwan, tenten mu, yɛ bio
🔄	akyerɛkyerɛakwan, akyerɛkyerɛkwan, antiklɔkwaise, bio, bɔtom, degya, kɔntaklɔkwaise, kɔntaklɔkwaise akyerɛkyerɛkwan bɔtom, rewaidahyense, vu, yɛ bio
🔙	AKYIRE, AKYIRE akyerԑkyerԑkwan, akyerԑkyerԑkwan
🔚	AWIEEƐ, akyerɛkyerɛkwan, akyerɛkyerɛkwan AWIEEƐ
🔛	SO!, SO! akyerɛkyerɛkwan, akyerɛkyerɛkwan, nsɛnkyerɛne
🔜	SOON, SOON akyerԑkyerԑkwan, akyerԑkyerԑkwan, brb, omw
🔝	akyerɛkyerɛkwan, homie, soro, ƐSORO, ƐSORO akyerԑkyerԑkwan
🛐	beaeɛ, beaeɛ a ͻsom, bͻ mpaeɛ, ͻsom, ͻsͻreɛ
⚛️	aatͻm, aatͻm agyinahyɛdeɛ, agyinahyɛdeɛ, wiaseni
🕉️	Hindufoͻ, om, ͻɛom
✡️	Dawid, Dawid nsoromma, Yudani, nsoroma, yudasom, ɔsom
☸️	Budasom, dharma, dharma ntwahonan, ntwahonan, ɔsom
☯️	den, mua, nkwa, tao, taoni, yang, yin, yin yang, yinyang, ɔsom
✝️	asɛnnua, kristo, kristoni, latin, latin asɛnnua, ɔsom
☦️	asɛnnua, kristoni, ɔsom, ɔtɔdɔso, ɔtɔdɔso asɛnnua
☪️	Nkramoni, krɛsɛnte, nkramosom, nsoroma, nsoroma ne krɛsɛnte, ramadan, ɔsom
☮️	ahyɛnsodeɛ, asomdwoeɛ, asomdwoeɛ ahyɛnsodeɛ, ayaresa, ɛho dwo
🕎	hanukkah, kandelabrum, kaneadua, menora, yudani, yudasom, ɔsom
🔯	ano nsia, dɔɔto wom, nsoroma, nsoroma ano nsia a dɔɔto wom, yiedie, yudani, yudasom
🪯	Deg, Fateh, Khalsa, Sikh, Sikhism, Tegh, khanda, ɔsom
♈️	Aries, horoscope, odwannini, zodiac
♉️	Taurus, horoscope, nantwinini, ox, zodiac
♊️	Gemini, horoscope, ntafoɔ, zodiac
♋️	Cancer, horoscope, kɔtɔ, zodiac
♌️	Leo, gyata, horoscope, leo, zodiac
♍️	Virgo, horoscope, zodiac
♎️	Libra, atɛntenenee, balance, horoscope, scales, zodiac
♏️	Scorpio, Scorpius, horoscope, nyanyankyerɛ, zodiac
♐️	Sagittarius, agyantofoɔ, horoscope, zodiac
♑️	Capricorn, apɔnkye, horoscope, zodiac
♒️	Aquarius, horoscope, nsuo, soafoɔ, zodiac
♓️	Pisces, apataa, horoscope, zodiac
⛎️	Ophiuchus, aboatea, soafoɔ, zodiac, ɔwɔ
🔀	akyerɛkyerɛkwan, bɔtom, hyafuu, nnwom, nnwom fra bɔtom, wɔatwam
🔁	akyerɛkyerɛkwan, bɔtom, klɔkwaise, si so, si so bɔtom
🔂	akyerɛkyerɛkwan, bɔtom, klɔkwaise, korɔ, pɛnkoro, si korɔ so bɔtom, si so
▶	akyerɛkyerɛkwan, bɔ, bɔ bɔtom, bɔtom, nifa, traianguu
⏩	akyerɛkyerɛkwan, anim, bɔtom, mprenu, ntɛm, ntɛm-anim bɔtom, ntɛn-anim
⏭	akyerɛkyerɛkwan, bɔtom, di hɔ, nhwɛeɛ, nnwom, nnwom a ɛdi hɔ bɔtom, traeanguu
⏯	akyerɛkyerɛkwan, bɔ, bɔ anaa gyina bɔtom, bɔtom, gyina, nifa, traeanguu
◀	akyerɛkyerɛkwan, benkum, bɔtom, kɔ akyi, kɔ akyi bɔtom, traeanguu
⏪	akyerɛkyerɛkwan, bɔtom, kɔ akyi, mprenu, ntɛm, ntɛm akyi bɔtom, san bɔ
⏮	akyerɛkyerɛkwan, akyi, akyi nnwom bɔtom, akyire, bɔtom, nhwɛeɛ, nnwom, traeanguu
🔼	akyerɛkyerɛkwan, bɔtom, kɔkɔɔ, soro, soro bɔtom
⏫	akyerɛkyerɛkwan, bɔtom, mprenu, ntɛm, ntɛm soro bɔtom, soro
🔽	akyerɛkyerɛkwan, bɔtom, fam, fam bɔtom, kɔkɔɔ
⏬	akyerɛkyerɛkwan, bɔtom, fam, mprenu, ntɛm, ntɛm fam bɔtom
⏸️	abaa, bɔtom, gyina, gyina bɔtom, mprenu, tenten mu
⏹️	bɔtom, gyae, gyae bɔtom, sokwɛɛ
⏺️	bɔtom, kanko, kyere, kyere bɔtom
⏏️	bɔtom, yi, yi bɔtom
🎦	kamera, sini
🔅	bɔtom, fam, hyɛɛn, kusuu, kusuu bɔtom
🔆	bɔtom, bɔtom hyɛɛn, hyerɛn, hyɛɛn, ɛhyɛn
📶	abaa, antena, antena mmaa, fon, mmaa, mobaa, nkitahodie, siginaa, sɛɛle, tɛlɛfon
🛜	brɔdbande, hɔtspɔto, intanɛt, kɔmputa, kɔnɛtifiti, nɛtwɛke, raota, sematfon, wi-fi, wifi, wlan, ɛnni ahoma
📳	awosoɔ, awosoɔ berɛ, berɛ, fon, mobaa, nkitahodie, sɛɛle, tɛlɛfon
📴	dum, fon, mobaa, mobaa fon dum, sɛɛle, tɛlɛfon
♀️	nsɛnkyerɛnne, ͻbaa, ͻbaa nsɛnkyerɛnne
♂️	nsɛnkyerɛnne, ͻbarima, ͻbarima nsɛnkyerɛnne
⚧️	simboo, transegɛnda, transgɛnda simboo
✖️	mɔɔtiplae, mɔɔtiplikehyen, sɛnkyerɛnne, twa mu, x, ×
➕️	+, plas
➖️	-, duru, nkontabuo, nsɛnkyerɛnne, te firi mu
➗️	duru, kyɛ mu, nkontaa, nkyɛmu, sɛnkyerɛnne, ÷
🟰	akontaa, duru, mmuaeɛ, pɛpɛɛpɛ, pɛpɛɛpɛ sɛnkyerɛnne a ɛyɛ duru, pɛyɛ, sɛnkyerɛnne, yɛ pɛ
♾️	daa, wiase nyinaa, ɛnni awieeɛ, ɛnni mfamdeɛ
‼️	!, !!, agyinahyɛdeɛ, bangbang, mmienu, nsɛnkyerɛne, nteamudeɛ, nteamudeɛ mmienu
⁉️	!, !?, ?, agyinahyɛdeɛ, asɛmmisa, interrobang, nsɛnkyerɛne, nteamudeɛ, nteamudeɛ asɛmmisa nsɛnkyerɛne
❓️	?, agyinahyɛdeɛ, assɛmmisa, asɛmmisa nsɛnkyerɛne kɔkɔɔ, kɔkɔɔ, nsɛnkyerɛne
❔️	?, agyinahyɛdeɛ, asɛmmisa, asɛmmisa nsɛnkyerɛne fitaa, ayiyi, fitaa, sɛnkyerɛnne
❕️	!, agyinahyɛdeɛ, ayiyi, fitaa, nteamudeɛ, nteamudeɛ fitaa, sɛnkyerɛnne
❗️	!, agyinahyɛdeɛ, kɔkɔɔ, nsɛnkyerɛne, nteamudeɛ, nteamudeɛ kɔkɔɔ
〰️	agyinahyɛdeɛ, daahye, weevi, weevi daahye
💱	sesa, sika, sika sesa, sikakorabea
💲	ahyɛnsodeɛ, boɔ, duruduru, dɔla, dɔla ahyɛnsodeɛ duruduru, sika, tua, ɔpepem, ɔpepepem
⚕️	abaa, aduro, aduyɛ, aeskulapiuso, ahyɛnsodeɛ, ayarehwɛ ahyɛnsodeɛ
♻️	ahyɛmsodeɛ, resaekiline, resaekiline ahyɛnsodeɛ, resaekilo
⚜	asogyafoɔ, fleur-de-lis
🔱	ahyɛnsodeɛ, anwinadeɛ, po so hyɛn, poseidon, sɛkyɛ, traidɛnte, traidɛnte ahyɛnsodeɛ
📛	baagye, edin, edin baagye
🔰	Gyapanfoɔ, Gyapanfoɔ ahyɛnsodeɛ ma deɛ ɔrefiri aseɛ, ahaban, ahabanmono, ahyɛnsodeɛ, akokɔsradeɛ, anwinadeɛ, deɛ ɔrefiri aseɛ, hyɛveron
⭕️	duruduru, kanko, kanko kɔkɔɔ a tokuro da mu, kɔkɔɔ, kɛseɛ, o, tokuro
✅️	akyɛɛki, awie, bɔtom, kyɛɛki, kyɛɛki ahyɛnsodeɛ bɔtom, kyɛɛkiahyɛnsodeɛ, san, teke, tim hɔ, wie, ✓
☑️	adaka, akyɛɛki, awie, baalɔt, dum, kyɛɛki, kyɛɛki adaka ne kyɛɛki, teke, ✓
✔️	ahyɛnsodeɛ, akyɛɛki, awie, duruduru, kyɛɛki, kyɛɛki ahyɛnsodeɛ, kyɛɛkiahyɛnsodeɛ, teke, ✓
❌️	ahyɛnsodeɛ, krɔss, krɔɔs ahyɛnsodeɛ, mɔɔteplae, mɔɔteplikehyen, twam, x, ×
❎️	ahyɛnsodeɛ, bɔtom, krɔss, krɔss ahyɛnsodeɛ bɔtom, mɔɔteplae, mɔɔteplikehyen, sokwɛɛ, x, ×
➰️	kɛɛle, kɛɛli, kɛɛli luupu, luupu
➿️	kɛɛle, kɛɛli, kɛɛli luupu mmienu, luupu, mmienu
〽️	ahyɛnsodeɛ, nsesaeɛ, ɔfa, ɔfa nsesaeɛ ahyɛnsodeɛ
✳️	*, astɛriske, ɛpɔ nwɔtwe, ɛpɔ nwɔtwe astɛriske
✴️	*, ano nwɔtwe, ano nwɔtwe nsoroma, nsoroma
❇️	*, yerɛwyerɛw
©️	C, hokwan
®️	R, wɔatwerɛ ne din
™️	TM, adwadie, adwadie ahyɛnsodeɛ, adwadieahyɛnsodeɛ, ahyɛnsodeɛ
🫟	akaadoo, bɔ gu, holi, inki, ka mu, nsuo, sosɔ, to pete, yɛ fii
#⃣	kiikape, kiikape: #
*⃣	kiikape, kiikape: *
0⃣	kiikape, kiikape: 0
1⃣	kiikape, kiikape: 1
2⃣	kiikape, kiikape: 2
3⃣	kiikape, kiikape: 3
4⃣	kiikape, kiikape: 4
5⃣	kiikape, kiikape: 5
6⃣	kiikape, kiikape: 6
7⃣	kiikape, kiikape: 7
8⃣	kiikape, kiikape: 8
9⃣	kiikape, kiikape: 9
🔟	kiikape, kiikape: 10
🔠	ABCD, atwerɛdeɛ akɛseɛ, input, input laatin atwerɛdeɛ akɛseɛ, laatin, ntwerɛdeɛ
🔡	abcd, atwerɛdeɛ nketewa, input, input laatin atwerɛdeɛ nketewa, laatin, ntweredeɛ
🔢	1234, input, input nͻma, nͻma
🔣	%, &, ahyɛnsodeɛ, input, input ahyɛnsodeɛ, ♪, 〒
🔤	abc, atwerɛdeɛ, input, input laatin ntwerɛdeɛ, laatin, ntwerɛdeɛ
🅰️	A bͻtom (mogya su), bͻtom, mogya, su
🆎	AB, AB bͻtom (mogya su), bͻtom, mogya, su
🅱️	B, B bͻtom (mogya su), bͻtom, mogya, su
🆑	CL, CL bͻtom, bͻtom
🆒	COOL, COOL bͻtom, bͻtom
🆓	FREE, FREE bͻtom, bͻtom
ℹ️	I, asɛm
🆔	ID, ID bͻtom, bͻtom
Ⓜ️	M, M a ɛhyɛ kanko mu, atwa ho ahyia, kanko
🆕	NEW, NEW bͻtom, bͻtom
🆖	NG, NG bͻtom, bͻtom
🅾️	O, O bͻtom (mogya su), bͻtom, mogya, su
🆗	OK, OK bͻtom, bͻtom, yoo
🅿️	P bͻtom, bͻtom
🆘	SOS, SOS bͻtom, bͻtom, mmoa
🆙	UP, UP!, UP! bͻtom, bɔtom, sensaneɛ
🆚	VS, VS bͻtom, bɔtom, ne
🈁	Gyapanfoɔ, Gyapanfoɔ “ɛha” bɔtom, bɔtom, katakana, ɛha
🈂️	Gyapanfoɔ, Gyapanfoɔ “dwumadie ka” bɔtom, bɔtom, dwumadie, katakana, ɛka
🈷	Gyapanfoɔ, Gyapanfoɔ “bosome sika” bɔtom, bosome, bɔtom, ideografo, sika
🈶	Gyapanfoɔ, Gyapanfoɔ “ɛnyɛ kwa” bɔtom, button, charge, free, ideograph, ɛnyɛ
🈯	Gyapanfoɔ, Gyapanfoɔ “wɔakora so” bɔtom, bɔtom, ideografo, wɔakora so
🉐	Gyapanfoɔ, Gyapanfoɔ “di ano” bɔtom, bɔtom, di ano, ideografo
🈹	Gyapanfoɔ, Gyapanfoɔ “ntesoɔ” bɔtom, bɔtom, ideografo, ntesoɔ
🈚	Gyapanfoɔ, Gyapanfoɔ “wontua hwee” bɔtom, bɔtom, ideografo, kwa, sika
🈲	Gyapanfoɔ, Gyapanfoɔ “wɔabara” bɔtom, bɔtom, ideografo, wɔabara
🉑	Gyapanfoɔ, Gyapanfoɔ “wɔgye tom” bɔtom, bɔtom, ideografo, wɔgye tom
🈸	Gyapanfoɔ, Gyapanfoɔ “apilikeehyen” bɔtom, apilikeehyen, bɔtom, ideografo
🈴	Gyapanfoɔ, Gyapanfoɔ “nkonimdie aba” bɔtom, aba, bɔtom, ideografo, nkonimdie
🈳	Gyapanfoɔ, Gyapanfoɔ “kwan da hɔ” bɔtom, bɔtom, ideografo, kwan da hɔ
㊗️	Gyapanfoɔ, Gyapanfoɔ “ayekoo” bɔtom, ayekoo, bɔtom, ideografo
㊙️	Gyapanfoɔ, Gyapanfoɔ “ahintasɛm” bɔtom, ahintasɛm, bɔtom, ideografo
🈺	Gyapanfoɔ, Gyapanfoɔ “adwuma apue” bɔtom, abue, adwuma, bɔtom, ideografo
🈵	Gyapanfoɔ, Gyapanfoɔ “kwan nni hɔ” bɔtom, bɔtom, ideografo, kwan, ɛnni
🔴	geomɛtreke, kanko, kanko kͻkͻͻ, kͻkͻͻ
🟠	ankaahono, ankaahono kanko, kanko
🟡	akokͻsradeɛ, akokͻsradeɛ kanko, kanko
🟢	ahabammono, ahabammono kanko, kanka
🔵	bibire, bibire kanko, geomɛtreke, kanko
🟣	beredum, beredum kanko, kanko
🟤	dodoeɛ, dodoeɛ kanko, kanko
⚫️	geomɛtreke, kanko, kanko tuntum, tuntum
⚪️	fitaa, geomɛtreke, kanko, kanko fitaa
🟥	kaade, kͻkͻͻ, pɛnaati, sokwɛɛ, sokwɛɛ kͻkͻͻ
🟧	ankaa, sokwɛɛ, sokwɛɛ ankaahono
🟨	akokͻsradeɛ, kaade, pɛnaati, sokwɛɛ, sokwɛɛ akokͻsradeɛ
🟩	ahabammono, sokwɛɛ, sokwɛɛ ahabammono
🟦	bibire, sokwɛɛ, sokwɛɛ bibire
🟪	beredum, sokwɛɛ, sokwɛɛ beredum
🟫	dodoeɛ, sokwɛɛ, sokwɛɛ dodoeɛ
⬛️	geomɛtreke, kɛseɛ, sokwɛɛ, sokwɛɛ tuntum kɛseɛ, tuntum
⬜️	fitaa, geomɛtreke, kɛseɛ, sokwɛɛ, sokwɛɛ fitaa kɛseɛ
◼️	geomɛtreke, hͻ-ne-hͻ, sokwɛɛ, sokwɛɛ hͻ-ne-hͻ tuntum, tuntum
◻️	fitaa, geomɛtreke, hͻ-ne-hͻ, sokwɛɛ, sokwɛɛ hͻ-ne-hͻ fitaa
◾️	geomɛtreke, ketewa kakra, sokwɛɛ, sokwɛɛ tuntum keteea kakra, tuntum
◽️	fitaa, geomɛtreke, ketewa kakra, sokwɛɛ, sokwɛɛ fitaa ketewa kakra
▪️	geomɛtreke, ketewa, sokwɛɛ, sokwɛɛ tuntum ketewa, tuntum
▫️	fitaa, geomɛtreke, ketewa, sokwɛɛ, sokwɛɛ fitaa ketewa
🔶	ankaa, denkyemboͻ, denkyemboͻ ankaa kɛseɛ, geomɛtreke, kɛseɛ
🔷	bibire, denkyemboͻ, denkyemboͻ bibire kɛseɛ, geomɛtreke, kɛseɛ
🔸	ankaahono, denkyemboͻ, denkyemboͻ ankaahono ketewa, geomɛtreke, ketewa
🔹	bibire, denkyemboͻ, denkyemboͻ bibire ketewa, geomɛtreke, ketewa
🔺	ahinasa, ahinasa kͻkͻͻ kyerɛ soro, geomɛtreke, kyerɛ, kͻkͻͻ, soro
🔻	ahinasa, ahinasa kͻkͻͻ kyerɛ fam, fam, geomɛtreke, kyerɛ, kͻkͻͻ
💠	aseresɛm, denkyemboͻ, denkyemboͻ a dͻͻto wͻ mu, dͻͻto, geomɛtreke
🔘	bͻtom, geomɛtreke, kasafidie, kasafidie bͻtom
🔳	bͻtom, fitaa, fitaa sokwɛɛ bͻtom, geomɛtreke, nhyehyɛeɛ, sokwɛɛ
🔲	bͻtom, geomɛtreke, sokwɛɛ, tuntum, tuntum sokwɛɛ bͻtom
🏴	frankaa, frankaa tuntum, him, tuntum
🏳️	fitaa, frankaa, frankaa fitaa, him
🏳‍🌈	nyankontͻn frankaa
🏴‍☠	ahodeɛ, anigyeɛ, frankaa, nnyetom, wia, ɛpo so korͻmfoͻ, ɛpo so korͻmfoͻ frankaa
¤	sika a yɛnnim
¢	cent
$	USD, dͻla, peso, sika
£	EGP, GBP, kɛrɛnsi, pͻn
¥	CYN, JPY, kɛrɛnsi, yen, yuan
֏	Amɛnia dram
؋	Afghanfoɔ Afghani
৳	Bangladehye taka
฿	Tai bat
៛	Kambodia riel
₡	Kɔsta Rika kɔlɔn
₢	BRB, cruzeiro, kɛrɛnsi
₣	franke, frɛnkye, frɛnkye franke, kɛrɛnsi
₤	kɛrɛnsi, lira
₥	mil, mill
₦	Naegyeria Naira
₩	KPW, KRW, won
₪	Israel hyekel foforɔ
₫	Viɛtnamfoɔ dɔn
€	EUR, kɛrɛnsi, yuro
₭	Laohyia kip
₮	Mongoliafoɔ tugrike
₰	germanfoͻ, germanfoͻ penny, kɛrɛnsi, penny, pfenning
₱	peso
₲	Paragayana guarani
₳	ARA, kɛrɛnsi, ɔstraa
₴	Yukren hryvnia
₵	Ghana Sidi
₶	kɛrɛnsi, livre, livre tɔɔnɔse, tɔɔnɔse
₷	kɛrɛnsi, spesmilo
₸	Kagyastan tenge
₹	indiafoͻ, indiafoͻ rupee, kɛrɛnsi, rupee
₺	Tɛki lira
₼	Azɛbagyan manat
₽	kɛrɛnsi, rubuu
₾	Gyɔɔgyia lari
₿	BTC, bitkͻin
₨	kɛrɛnsi, rupee
﷼	kɛrɛnsi, rial
¹	baako, supasikripite, supasikripite baako
²	mmienu, sokwɛɛde, supasikripite, supasikripite mmienu
³	kiuubude, mmiɛnsa, supasikripite, supasikripite mmiɛnsa
µ	ahyɛnsodeɛ, mikro, mikro ahyɛnsodeɛ, susu
