‾	ขีดบน
🤫	จุ๊, จุ๊จุ๊, บอกให้เงียบ, หน้า, หน้าบอกให้เงียบ, เงียบ
🤔	ครุ่นคิด, คิด, หน้า, หน้าครุ่นคิด
🫡	ครับผม, ดี, ตะเบ๊ะ, ทำท่าวันทยาหัตถ์, รับทราบ, หน้า, หน้าทำท่าวันทยาหัตถ์, เคารพ, โชคดี, โอเค, ได้เลย
🤐	รูดซิป, รูดซิปปาก, หน้า
🤨	คลางแคลงใจ, ประหลาดใจ, พิจารณา, ยกคิ้ว, สงสัย, หน้าประหลาดใจกับยักคิ้ว, หวาดระแวง, อืม, แปลกใจ
😐️	หน้า, หน้าเฉยๆ, เฉยๆ
😑	หน้า, หน้าเย็นชา, เฉยๆ
😶	หน้า, หน้าไม่มีปาก, ไม่มีปาก
🫥	ซ่อน, ล่องหน, หดหู่, หน้าเป็นเส้นประ, หน้าเส้นประ, หาย, เก็บตัว, เซ็ง, เบื่อ, เศร้า, เสียใจ
😶‍🌫	หน้าในหมู่เมฆ, หมอก, เมฆ, เหม่อลอย, แอบมอง, ใบหน้า​
😏	หน้า, เจ้าเล่ห์, แสยะยิ้ม
😒	หน้า, หน้าหน่าย, เบื่อหน่าย, ไม่มีความสุข
🙄	กลอกตา, มองบน, หน้า, เบื่อ, เบื่อหน่าย, เหลือทน
😬	ยิงฟัน, หน้า, เบะปาก
😮‍💨	ถอนหายใจ, พ่นลมหายใจ, หน้าหายใจออก, หอบ, เป่าควัน, เป่าลม, เหนื่อยล้า, เฮ้อ, โล่งอก, โล่งใจ
🤥	ขี้จุ๊, ขี้โกหก, จมูกยาว, พิน็อคคิโอ, หน้า, โกหก
🫨	ช็อค, ตกใจ, บ้า, ประหลาดใจ, มึนงง, ว้าว, แปลกใจ, แผ่นดินไหว, โอ้โห, ใบหน้าสั่น
🙂‍↔	สั่น, ส่ายหน้า, ส่ายหัว, ไม่
🙂‍↕	ผงกหัว, พยักหน้า, เห็นด้วย, ใช่
😌	สงบ, หน้า, โล่งใจ
😔	คิดมาก, คิดไม่ตก, ผิดหวัง, หน้า
😪	ง่วง, หน้า, หลับ
🤤	น้ำลาย, น้ำลายไหล, หิว
😴	กรน, กู๊ดไนท์, งีบ, ง่วง, นอน, ราตรีสวัสดิ์, หน้า, หลับ, เหนื่อย, ไปนอน
🫩	กังวล, ง่วง, ดึก, ถุงใต้ตาบวม, หน้า, หมดแรง, เบื่อ, เหนื่อย
😷	ป่วย, ผ้าคาดปาก, หน้า, เป็นหวัด
🤒	ปรอทวัดไข้, ป่วย, หน้า, อมปรอท
🤕	ผ้าก็อต, หน้า, หัวแตก, เจ็บ, แผล
🤢	คลื่นไส้, ซีด, ป่วย, พะอืดพะอม, หน้าเขียว, อ้วก, เขียว, ไม่สบาย
🤮	ป่วย, หน้าอาเจียน, อาเจียน, อ้วก, แหวะ, ไม่สบาย
🤧	จาม, ป่วย, หวัด, ฮัดเช้ย, ใครบ่นถึง
🥵	ร้อน, ร้อนตับแลบ, ร้อนมาก, ลมแดด, หน้าแดง, หอบ, เป็นไข้, เหงื่อออก, เหงื่อแตกพลั่ก, ไข้ขึ้น
🥶	หนาว, หนาวจัด, หนาวสั่น, หวัด, เย็นจัด, เย็นยะเยือก, ไข้หวัด
🥴	คลื่นไส้, งง, งงงวย, มึน, มึนเมา, วิงเวียน, สับสน, หน้างงงวย, หน้ามืด, เมาเหล้า
😵	มึน, หน้า, หน้ามึน
😵‍💫	ตาลาย, พระเจ้าช่วย, มึน, ยิ้ม, วิงเวียน, สะกดจิต, สับสน, หน้าตาลาย, หน้ามืด, เป็นลม, โว๊ะ
🤯	ช็อค, ตกใจ, ตะลึง, ระเบิด, หัวระเบิด
🤠	คน, คาวบอย, คาวบอยสวมหมวก, หน้า, หมวก
🥳	งานเลี้ยง, ฉลอง, ตื่นเต้น, ปาร์ตี้, วันเกิด, สุขสันต์วันเกิด, หน้า, เฉลิมฉลอง, แฮปปี้เบิร์ดเดย์, ไชโย, ไปปาร์ตี้
🥸	คน, คิ้ว, จมูก, ปลอมตัว, สปาย, สายลับ, หนวด, หน้า, แว่นตา, ไม่เปิดเผยตัว
😎	ยิ้ม, หน้า, หน้ายิ้มใส่แว่น, แว่นกันแดด
🤓	จริงจัง, ฉลาด, พรสวรรค์, หน้า, หัวดี, เชี่ยวชาญ, เด็กเนิร์ด, เด็กเรียน, เนิร์ด, เปิ่น, แว่น
🧐	ร่ำรวย, หน้า, หน้ากับแว่นเลนส์เดียว, เลนส์เดียว, แฟนซี, แว่นตา
😕	สับสน, หน้า, หน้าสับสน
🫤	ขุ่นเคือง, ผิดหวัง, สงสัย, สับสน, หงุดหงิด, หน้าสงสัย, เซ็ง, เบื่อ, เอาเถอะ, ไม่แน่ใจ
😟	กังวล, หน้า, หน้ากังวล
🙁	บึ้ง, หน้า, หน้าบึ้งเล็กน้อย
☹️	บึ้ง, หน้า, หน้าบึ้ง
😮	ตกใจ, หน้า, อ้าปาก
😯	หน้า, หน้าจุ๊ๆ, ห่อปาก, โอว
😲	ประหลาดใจ, หน้า, หน้าประหลาดใจ
😳	ตาโต, หน้า, อาย, อายหน้าแดง
🥺	ขอความเห็นใจ, ขอร้อง, หน้าอ้อนวอน, อ้อนวอน, เสียใจ
🥹	กลั้นน้ำตา, ขอร้อง, ซึ้งใจ, ปลาบปลื้ม, ภูมิใจ, หน้ากลั้นน้ำตา, อดกลั้น, อาย, ฮือ, เศร้า, โกรธ
😦	ตะลึง, บึ้ง, หน้า, หน้าบึ้งอ้าปาก, อ้าปากค้าง
😧	ทุกข์ใจ, หน้า, หน้าเจ็บปวด, หวาดกลัว, เครียด, เจ็บปวด, แปลกใจ
😨	กลัว, หน้า, หวาดกลัว
😰	กลัว, กังวล, กังวลเหงื่อตก, ประสาท, ประหม่า, หน้า, เร่งรีบ, เหงื่อตก
😥	ผิดหวัง, หน้า, เหงื่อตก, โล่งอก
😢	น้ำตา, ร้องไห้, หน้า
😭	น้ำตา, ร้องไห้โฮ, หน้า, เสียงดัง, เสียใจ
😱	กรีดร้อง, กลัว, กลัวกรีดร้อง, ช็อค, ว้าว, หน้า, หวีด
😖	คุ้มคลั่ง, ผิดหวัง, รำคาญ, สับสน, หงุดหงิด, หน้า, หน้ารำคาญ, เศร้า
