‾	överstreck
🪁	flyga, flygande drake, sväva
🔫	leksakspistol, pistol, revolver, vapen, vattenpistol
🎱	biljard, biljardboll, biljardboll med nummer 8, åttan
🔮	framtiden, kristallkula, spåkula
🪄	häxa, magi, trollkarl, trollkonst, trollspö, trollstav
🎮️	kontroll, spel, tv-spel, tv-spelskontroll
🕹️	joystick, spak, spel, styrspak
🎰	enarmad bandit, spel, spelautomat, spelmaskin
🎲	spel, speltärning, tärning
🧩	bit, ledtråd, pussel, pusselbit, pusselbitar, sammanfoga
🧸	gosedjur, leksak, mjukdjur, nallebjörn
🪅	fest, kalas, piñata
🪩	dansa, disco, discokula, fest, glitter
🪆	babuschkadocka, matrjosjka, rysk docka, ryska dockor
♠️	färg, kort, spader, svart spader
♥️	färg, hjärter, kort, rött hjärter
♦️	färg, kort, ruter, röd ruter
♣️	färg, klöver, kort, svart klöver
♟️	schack, schackbonde, utbytbar
🃏	Joker, Joker-kort, joker, spelkort, spelkort med joker
🀄️	Mahjong-bricka, drake, mahjong-bricka, röd drake, spelbricka
🎴	blomma, japanskt spelkort med blomma, kort, kortspel, spelkort, spelkort med blomma
🎭️	ansiktsmasker, dans och teater, masker, teater
🖼️	bild i ram, konst, museum, tavla
🎨	färger, färgpalett, konst, palett
🧵	nål, spole, tråd, trådrulle
🪡	broderi, nål, skräddarsy, stygn, synål
🧶	garn, garnnystan, sticka, virka
🪢	knop, knut, rep, tågvirke
👓️	accessoarer, brillor, glasögon, ögon
🕶️	glasögon, solglasögon
🥽	simglasögon, simma, svetsning, ögonskydd
🥼	doktor, experiment, labbrock, vetenskapsman
🦺	nöd, säkerhet, varningsväst, varselväst, väst
👔	kläder, skjorta, skjorta med slips, slips
👕	kläder, t-shirt, tröja
👖	byxor, jeans, kläder
🧣	hals, halsduk, scarf
🧤	hand, handske
🧥	jacka, kavaj
🧦	sockor, strumpa
👗	kläder, klänning
👘	kimono, kläder, klänning
🥻	kläder, klänning, sari
🩱	baddräkt, simdräkt
🩲	badbyxor, badkläder, badshorts, simutrustning
🩳	badbyxor, badkläder, badshorts, shorts, underkläder
👙	badkläder, bikini, kläder
👚	blus, damkläder, kläder
🪭	blyg, dans, fläkt, fläktar, flört, hett, solfjäder, svalka
👛	accessoar, portmonnä
👜	accessoar, handväska, väska
👝	accessoar, clutch, kuvertväska
🛍️	påsar, shopping, shoppingpåsar
🎒	ryggsäck, skolväska, väska
🩴	flip-flops, remsko, sandaler
👞	herrsko, sko, skor
👟	gympasko, sko, sneaker
🥾	camping, pjäxor, vandring, vandringskänga
🥿	ballerinasko, lågklackad, toffla
👠	högklackad sko, klack, pumps, sko
👡	damsandal, högklackad damsandal, sandal, sko
🩰	balett, ballettskor, dans
👢	damstövel, sko, stövel
🪮	afro, afrokam, hår, kam
👑	drottning, krona, kung, kungakrona
👒	damhatt, hatt
🎩	hatt, hög hatt
🎓️	examen, examenshatt, hatt, högtid
🧢	basebollkeps, keps, skärmmössa
🪖	armé, hjälm, krigare, militär, militärhjälm, soldat
⛑️	hjälm, hjälm med vitt kors, hjälp, räddningsarbetare, räddningsarbetarhjälm, utryckningspersonal
📿	bön, halsband, radband, religion
💄	läppstift, makeup, smink
💍	diamant, diamantring, kärlek, ring, romantik
💎	diamant, juvel, kärlek, ädelsten
🔇	avstängd högtalare, tyst
🔈️	högtalare, högtalare med låg volym, låg volym
🔉	högtalare, högtalare med medium volym, volym
🔊	högtalare, högtalare med hög volym, volym
📢	handhögtalare, kommunikation
📣	kommunikation, megafon
📯	posthorn, postsymbol
🔔	klocka, ljud, ringklocka
🔕	inget ljud, ljudlös, ringklocka, överstruken ringklocka
🎼	g-klav, musik, noter
🎵	musik, musiknot, not
🎶	musik, musiknoter, not, noter
🎙️	mikrofon, sjunga, studiomikrofon
🎚️	nivåreglage, reglage
🎛️	musik, reglage, reglagevred
🎤	karaoke, mikrofon, sjunga
🎧️	hörlur, musik
📻️	radio, video
🎷	musik, musikinstrument, saxofon
🪗	ackordeon, dragharmonika, dragspel
🎸	elgitarr, gitarr, musik, musikinstrument
🎹	klaviatur, musik, musikinstrument, piano
🎺	musik, musikinstrument, trumpet
🎻	fiol, fiol med stråke, musik, musikinstrument, violin
🪕	banjo, musik, sträng
🥁	musik, trumma, trumma med trumpinnar, trumpinnar
🪘	congatrumma, djembe, rytm, takt, trumma
🪇	instrument, maracas, musik, skaka, slaginstrument, slagverk
🪈	band, blockflöjt, flöjt, flöjtist, instrument, musik, orkester, panflöjt, pickolaflöjt, träblås
🪉	amor, harpa, instrument, musik, orkester, romantik
📱	mobil, mobiltelefon, telefon
📲	mobil, mobiltelefon med pil, ringa, telefon
☎️	telefon
📞	kommunikation, telefon, telefonlur
📟️	kommunikation, personsökare
📠	fax, kommunikation
🔋	batteri
🪫	elektronik, låg batterinivå, låg energinivå
🔌	elkontakt, kontakt
💻️	bärbar, bärbar dator, dator, kontor, laptop, pc
🖥️	dator, pc, stationär dator
🖨️	dator, skrivare
⌨️	dator, tangentbord
🖱️	dator, datormus, mus
🖲️	dator, mus, styrkula
💽	dator, datordiskett, optisk, skiva
💾	dator, diskett
💿️	bluray-skiva, cd-skiva, dvd-skiva, optisk skiva
📀	bluray-skiva, dvd-skiva
🧮	beräkning, kulram
🎥	film, filmkamera, spela in film
🎞️	film, filmnegativ, negativ
📽️	film, filmprojektor, projektor
🎬️	film, filmklappa, klappa
📺️	television, tv, video
📷️	kamera, video
📸	blixt, kamera, kamera med blixt
📹️	kamera, video, videokamera
📼	VHS, video, videoband, videokassett
🔍	förstoringsglas, förstoringsglas som lutar åt vänster, förstoringsglas vänster, vänsterpekande
🔎	förstoringsglas, förstoringsglas höger, förstoringsglas som lutar åt höger, högerpekande
🕯️	levande ljus, ljus, stearinljus
💡	elektrisk, fått en idé, glödlampa, lampa
🔦	ficklampa, lampa
🏮	lykta, restaurang, röd lykta, röd papperslykta
🪔	diya, diyalampa, lampa, oljelampa
📔	anteckningsbok med dekorativt omslag, anteckningsbok med snyggt omslag, skrivbok
📕	bok, stängd bok
📖	bok, öppen bok
📗	bok, grön bok
📘	blå bok, bok
📙	bok, orange bok
📚️	bok, böcker
📓	anteckningsbok, skrivbok
📒	liggare, skrivbok
📃	dokument, upprullad sida
📜	bokrulle, pergament, rulle
📄	dokument, sida, sida med text uppåt, text uppåt
📰	nyheter, tidning
🗞	ihoprullad, ihoprullad tidning, nyheter, tidning
📑	bokmärken, bokmärkesflikar, flikar, markörer
🔖	bokmärke, märke
🏷️	etikett
💰️	pengapåse, pengar, säck
🪙	guld, mynt, pengar, silver, skatt
💴	pengar, sedel, yen, yensedel
💵	dollar, dollarsedel, pengar, sedel
💶	euro, eurosedel, pengar, sedel
💷	pengar, pund, pundsedel, sedel
💸	flygande sedlar, pengar, pengar med vingar
💳️	betalkort, kort, kreditkort
🧾	belägg, bevis, bokföring, kvitto, redovisning
💹	diagram, diagram stigande marknad, stigande diagram med yen, stigande marknad, uppåtpekande
✉️	brev, e-post, e-postmeddelande, kuvert, mail, mejl
📧	brev, e-post, e-postsymbol, kommunikation, mail, mejl
📨	e-post, inkommande brev, kommunikation, kuvert, mottaget brev
📩	e-post, kuvert, kuvert med pil, mejl, pil, skickat, utgående
📤️	kommunikation, skickat, utkorg
📥️	inkorg, kommunikation, mottaget
📦️	låda, paket
📫️	post, stängd brevlåda med hissad flagga
📪️	post, stängd brevlåda med sänkt flagga
📬️	post, öppen brevlåda med hissad flagga
📭️	post, öppen brevlåda med sänkt flagga
📮	brevlåda, postlåda
🗳️	rösta, val, valurna med röstsedel
✏️	blyertspenna
✒️	penna, reservoarpenna, stift, stiftpenna
🖋️	penna, reservoarpenna
🖊️	kulspetspenna
🖌️	målarpensel, pensel
🖍️	krita
📝	anteckningar, kom ihåg-block
💼	portfölj, väska
📁	arkiv, arkivmapp, mapp
📂	mapp, öppen mapp, öppet arkiv
🗂️	flikar, index, indexflikar, kort, pärmflikar
📅	datum, kalender
📆	avdragbar kalender, datum, kalender
🗒️	anteckningar, anteckningsblock, block, spiralblock
🗓️	kalender, månadskalender, spiralbunden kalender
📇	kortregister, register
📈	diagram, graf, uppåtgående trend
📉	diagram, graf, nedåtgående trend
📊	diagram, stapeldiagram, staplar
📋️	clipboard, skrivplatta, urklipp
📌	kartnål, stift
📍	knappnål, nål, stift
📎	gem
🖇️	gem, ihopsatta gem, länkade gem
📏	linjal, rak
📐	linjal, rätvinklig linjal, triangel
✂️	klippa, sax
🗃️	kartotek, låda
🗄️	dokument, dokumentskåp, skåp
🗑️	papperskorg, skräp, sopor, soptunna
🔒️	lås, låst lås, stängt lås
🔓️	lås, olåst, öppet lås
🔏	bläckpenna, lås, lås med bläckpenna
🔐	lås, lås med nyckel, stängt
🔑	lösenord, nyckel
🗝️	gammal nyckel, nyckel
🔨	hammare, verktyg
🪓	hacka, hugga, klyva, ved, yxa
⛏️	hacka, verktyg
⚒️	hacka, hammare, hammare och hacka, verktyg
🛠️	hammare, hammare och skiftnyckel, skiftnyckel, verktyg
🗡️	dolk, kniv, vapen
⚔️	korsade, korslagda svärd, svärd, vapen
💣️	bomb, serietidning
🪃	australien, boomerang, bumerang, flyga tillbaka
🏹	båge, bågskytt, pil och båge, pilbåge, vapen
🛡️	sköld, vapen
🪚	fogsvans, snickare, såg, trä, verktyg
🔧	skiftnyckel, verktyg
🪛	skruvmejsel, verktyg
🔩	mutter, skruv, skruv och mutter
⚙️	kugge, kugghjul
🗜️	skruvtving, tving, verktyg
⚖️	balansvåg, rättvisa, våg, vågen
🦯	blind, blindkäpp, tillgänglighet
🔗	länk, länkar, länksymbol, två ringar
⛓‍💥	boja, bruten länk, bryta, frihet, kedja
⛓️	kedja, kedjor
🪝	hake, klo, krok, snärja
🧰	låda, mekaniker, verktyg, verktygslåda
🧲	hästsko, magnet, magnetisk
🪜	klätterstege, klättra, steg, stege
🪏	grop, gräva, skopa, spade
⚗️	kemi, retort
🧪	experiment, kemi, kemist, labb, provrör, vetenskap
🧫	bakterie, biolog, biologi, labb, petriskål
🧬	DNA, biolog, evolution, gen, genetik, liv
🔬	mikroskop, vetenskap
🔭	kikare, stjärnkikare, teleskop
📡	antenn, kommunikation, satellit, tv-satellit, tv-satellitantenn
💉	nål, sjukvård, spruta
🩸	bloddroppe, blodsdroppe, ge blod, medicin, menstruation
💊	medicin, piller, tablett
🩹	bandage, plåster
🩼	funktionsnedsättning, handikapp, krycka, käpp, mobilitetshjälpmedel, skadad
🩺	doktor, hjärta, medicin, stetoskop
🩻	ben, läkare, medicin, röntgen, skelett, undersökning
🚪	dörr
🛗	hiss, lift, tillgång, vinsch
🪞	reflektor, spegel, spegelglas
🪟	fönster, genomskinlig, ram, utsikt, öppning
🛏️	hotell, säng, sömn
🛋️	hotell, lampa, soffa, soffa och lampa
🪑	sitta, stol, säte
🚽	toalett, toalettstol
🪠	rörmokare, sugkopp, toalett, vaskrensare
🚿	dusch, vatten
🛁	bad, badkar
🪤	bete, fälla, musfälla, snara
🪒	raka, rakhyvel, vass
🧴	kräm, lotion, lotionflaska, shampoo, solkräm
🧷	blöja, punkrock, säkerhetsnål
🧹	häxa, kvast, sopa, städa
🧺	jordbruk, korg, picknick, tvätt
🧻	pappershanddukar, toalettpapper, toarulle
🪣	hink, kärl, spann, ämbar
🧼	bada, duscha, lödder, skål, tvål, tvålbit
🫧	bubblor, lödder, rap, rent, såpbubblor, tvål, under vatten
🪥	borste, ren, tandborste, tandhygien, tvätta, tänder
🧽	mjuk, rengörande, tvättsvamp
🧯	brandsläckare, eld, kväva, släcka
🛒	handla, inköp, shopping, shoppingvagn, vagn
🚬	cigarett, rykande cigarett, rökning, rökning tillåtet, symbol
⚰️	begravning, kista
🪦	begravningsplats, grav, gravplats, gravsten, minneslund
⚱️	aska, begravning, begravningsurna, urna
🧿	amulett, nazar, onda ögat, onda ögat-sten
🪬	Fatima, Maria, Miriam, amulett, hamsa, hand, lycka, skydd
🗿	påskön, staty
🪧	demonstration, plakat, protest, skylt
🪪	ID, ID-kort, legitimation, personuppgifter, säkerhet
🏧	bankomat, bankomatskylt, pengar, uttagsautomat
🚮	slänga skräp, soptunna, symbol
🚰	drickbart vatten, dricksvatten, symbol
♿️	rullstol, rullstolssymbol, symbol, tillgänglighet
🚹️	herrtoalett, män, symbol för män, toalett
🚺️	damtoalett, kvinnor, symbol för kvinnor, toalett
🚻	toalett, wc, wc-skylt
🚼️	bebis, bebissymbol, skötrum
🚾	WC, toalett, uthus
🛂	kontroll, pass, passkontroll
🛃	tull, tullkontroll
🛄	bagage, bagagehämtning
🛅	bagage, bagageservice, kvarlämnat bagage
⚠️	fara, se upp, skylt, utropstecken, varning, varningstecken
🚸	barn, passerande barn, passerar, symbol
⛔️	förbud mot infart med fordon, infart förbjuden
🚫	förbjudet, förbudsmarkering
🚳	cyklar förbjudna, fordon, förbud mot trafik med cykel, inte tillåtet att cykla
🚭️	rökning, rökning förbjuden, rökning förbjudet, symbol
🚯	inget skräp, skräpa inte ner, släng inte skräp här, symbol
🚱	ej dricksvatten, odrickbart vatten, symbol
🚷	förbud mot gångtrafik, inga fotgängare, inte tillåtet att gå, symbol
📵	inga mobiler, inga samtal, mobil förbjuden
🔞	barnförbjuden, ej för minderåriga, förbjudet, minderåriga, åldersgräns
☢️	fara, joniserande strålning, radioaktiv, radioaktiva ämnen, strålning, varning, varning för strålrisk
☣️	biologisk, biologisk fara, fara, skylt, varning
⬆️	norr, pil, riktning, uppåtpil, väderstreck
↗️	höger, pil, uppåt, uppåtpil höger
➡️	högerpil, pil, riktning, väderstreck, öster
↘️	höger, nedåt, nedåtpil höger, pil
⬇️	nedåt, nedåtpil, pil, riktning, söder, väderstreck
↙️	nedåt, nedåtpil vänster, pil, vänster
⬅️	pil, riktning, väderstreck, vänsterpil, väster
↖️	pil, uppåt, uppåtpil vänster, vänster
↕️	nedåt, pil, pil upp och ned, uppåt
↔️	höger, pil, pil höger och vänster, vänster
↮	höger och vänsterriktat pilstreck
↩️	pil, sväng, svängd vänsterpil, vänster
↪️	höger, pil, sväng, svängd högerpil
⤴️	pil, sväng, svängd uppåtpil, uppåt
⤵️	nedåt, pil, sväng, svängd nedåtpil
🔃	pilar, pilar medurs, uppdateringssymbol, vertikala pilar medurs
🔄	moturs, pilar, pilar moturs, spola tilllbaka, upprepa
🔙	Back med vänsterpil, TILLBAKA med vänsterpil, bakåt, vänsterpil
🔚	End med högerpil, Slut med högerpil, framåt, högerpil
🔛	ON! med pil höger och vänster ovanför, PÅ! med pil höger och vänster ovanför, pil höger och vänster, utropstecken
🔜	SNART med högerpil ovanför, Soon med högerpil ovanför, högerpil, pil
🔝	Top med uppåtpil, UPPÅT med uppåtpil ovanför, pil, uppåtpil
🛐	plats för tillbedjan, religion, tempel, tillbedjan
⚛️	ateist, atom, naturvetenskap, symbol för atom
🕉️	aum-tecken, hinduism, ohm-tecken, religion
✡️	davidsstjärna, jude, judendom, religion, stjärna
☸️	buddhist, hjul, livets hjul, livshjul, religion
☯️	religion, tao, taoist, yang, yin, yin och yang
✝️	kors, kristendom, latinskt kors, religion
☦️	kors, kristendom, ortodoxt kors, religion
☪️	halvmåne, islam, muslim, religion, stjärna och halvmåne
☮️	fred, fredssymbol, peace
🕎	judendom, ljusstake, menora
🔯	sexuddig stjärna med prick, spådom, stjärna
🪯	Khalsa, Sikh, khanda, religion, sikhism, tro
♈️	Väduren, stjärntecken
♉️	Oxen, stjärntecken
♊️	Tvillingarna, stjärntecken
♋️	Kräftan, stjärntecken
♌️	Lejonet, stjärntecken
♍️	Jungfrun, stjärntecken
♎️	Vågen, balans, rättvisa, stjärntecken
♏️	Skorpionen, stjärntecken
♐️	Skytten, stjärntecken
♑️	Stenbocken, stjärntecken
♒️	Vattumannen, stjärntecken
♓️	Fiskarna, stjärntecken
⛎️	Ormbäraren, stjärnbild
🔀	blanda, blanda låtar, korsade, pilar, shuffle
🔁	medurs, pil, repeat, upprepning
🔂	medurs, pil, repeat, upprepa en låt, upprepning
▶	knapp, knapp för spela, play, spela, uppspelningsknapp
⏩	framåt, framåtspolningsknapp, knapp, knapp för snabbspola framåt, snabbspola
⏭	knapp, knapp för nästa spår, nästa spår
⏯	knapp, knapp för spela eller pausa, paus, play, spela
◀	bakåtspolningsknapp, knapp, knapp för spola tillbaka, spola tillbaka
⏪	dubbla vänsterpilar, knapp för snabbspola tillbaka, pilar
⏮	knapp, knapp för sista spåret, sista spåret
🔼	triangel, uppåtknapp, uppåtpekande liten triangel
⏫	dubbla uppåtpilar, uppåtpilar
🔽	nedåtknapp, nedåtpekande liten triangel, triangel
⏬	dubbla nedåtpilar, nedåtpilar
⏸️	knapp, knapp för pausa, paus, pausknapp
⏹️	knapp, knapp för stoppa, stopp, stoppknapp
⏺️	inspelningsknapp, knapp, knapp för spela in, spela in
⏏️	knapp, knapp för mata ut, mata ut, utmatningsknapp
🎦	bio, bioskylt, film
🔅	ljusstyrka, låg, låg ljusstyrka
🔆	hög, hög ljusstyrka, ljus, ljusstyrka
📶	mobil, signalstyrka, stapel signalstyrka, staplar för mottagning, staplar för signalstyrka
🛜	dator, hotspot, internet, nätverk, surfpunkt, surfzon, trådlös, trådlöst, wifi
📳	läge, mobil, telefon, vibrationsläge
📴	avstängd, avstängd mobil, mobil av, telefon
♀️	kvinna, kvinnlig, kvinnosymbol
♂️	man, manlig, manssymbol
⚧️	transgender, transgendersymbol
✖️	avbryt, multiplicera, multiplikation, multiplikationstecken, tecken, x, ×
➕️	+, addera, matte, plus, plustecken, tecken
➖️	-, matte, minus, minustecken, subtrahera, tecken, −
➗️	dividera, division, divisionstecken, matte, tecken, ÷
🟰	fetstilt likamedtecken, likhet, matte
♾️	evig, obegränsad, oändlighet, universal
‼️	dubbla utropstecken, två, utropstecken
⁉️	frågetecken, utropstecken, utropstecken och frågetecken
❓️	?, fråga, frågetecken, interpunktion, rött frågetecken, tecken
❔️	fråga, frågetecken, vitt frågetecken
❕️	kommatering, utropstecken, vitt, vitt utropstecken
❗️	kommatering, rött, rött utropstecken, utropstecken
〰️	tankstreck, vågig, vågigt tankstreck
💱	pengar, valuta, valutaväxling, växelkurs
💲	dollar, dollartecken, pengar
⚕️	aesculapius, medicin, medicinsk symbol, personal
♻️	symbol, återvinning, återvinningssymbol
⚜	fleur de lys, fransk lilja, heraldisk lilja
🔱	hav, treudd
📛	namn, namnskylt, skylt
🔰	grönt och gult blad, japansk symbol för nybörjare
⭕️	cirkel, o, röd, tung stor cirkel, vit cirkel med röd kant
✅️	bock, vit bockmarkering, vit fet bockmarkering
☑️	avbockad, bock, kryssruta, kryssruta med bock, kryssruta med bockmarkering
✔️	avbockad, bock, bockmarkering
❌️	X, kryss, rött kryss
❎️	X i ruta, kryss, vitt kryss i ruta
➰️	kurva, slinga, ögla
➿️	dubbel ögla, öglor
〽️	japansk, japansk kommatering, kommatering
✳️	asterisk, spetsig, stjärna, åttauddig, åttauddig spetsig stjärna
✴️	stjärna, åttauddig, åttauddig stjärna
❇️	glittra, gnistra
©️	copyright, upphovsrätt, upphovsrättssymbol
®️	registrerat, registrerat varumärke
™️	skyddat varumärke, varumärke
🫟	fläck, färg, holi, stänk, utspill
🔠	ABC, alfabet, stora bokstäver, versaler
